,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat,P>0
col_c[0],-101.565,17.415,-135.651,-67.028,0.534,0.378,1063.0,1063.0,1068.0,2333.0,1.0,0.0
row_c[0],-327.759,36.586,-398.748,-258.339,1.28,0.908,817.0,813.0,830.0,1521.0,1.01,0.0
rank_c[0],12.478,7.103,-1.849,26.481,0.081,0.064,7745.0,6214.0,7737.0,4694.0,1.0,0.96025
is_target[0],32.321,15.128,0.99,61.33,0.194,0.141,6055.0,5755.0,6083.0,5331.0,1.0,0.982875
is_decoy[0],-101.532,39.38,-176.021,-21.819,1.436,1.016,752.0,752.0,751.0,1968.0,1.01,0.00675
is_probability[0],-18.148,11.562,-40.409,4.993,0.234,0.248,2439.0,1087.0,2843.0,1087.0,1.0,0.052125
is_chosen[0],238.924,22.458,195.354,283.53,0.441,0.312,2592.0,2589.0,2615.0,4047.0,1.0,1.0
