,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat,P>0
col_c,-94.612,16.038,-125.936,-62.966,0.321,0.227,2492.0,2492.0,2490.0,4105.0,1.0,0.0
row_c,-322.246,39.713,-399.988,-245.435,1.214,0.858,1071.0,1071.0,1074.0,1713.0,1.0,0.0
rank_c,5.631,6.45,-7.535,17.652,0.054,0.059,14110.0,6038.0,14077.0,5692.0,1.0,0.810375
is_target,56.024,13.203,31.0,82.771,0.131,0.094,10116.0,9915.0,10111.0,6523.0,1.0,1.0
is_decoy,-61.18,19.015,-97.355,-23.394,0.272,0.195,4885.0,4739.0,4903.0,5485.0,1.0,0.000875
is_probability,-30.472,17.519,-63.71,5.049,0.291,0.208,3618.0,3561.0,3630.0,4792.0,1.0,0.039625
is_chosen,290.632,24.996,239.248,336.559,0.46,0.326,2948.0,2948.0,2946.0,4587.0,1.0,1.0
