,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat,p>0
mean,-0.027,0.018,-0.06,0.009,0.001,0.0,992.0,992.0,987.0,1010.0,1.0,
sd,0.098,0.017,0.065,0.132,0.001,0.0,793.0,793.0,763.0,749.0,1.0,
nu_minus_one,20.884,24.998,0.456,75.994,0.771,0.546,1050.0,1050.0,763.0,1037.0,1.0,
difference,-0.027,0.018,-0.06,0.009,0.001,0.0,992.0,992.0,987.0,1010.0,1.0,0.081
d,-0.283,0.2,-0.665,0.093,0.007,0.005,910.0,910.0,901.0,986.0,1.01,0.081
