,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat,p>0
mean,0.022,0.004,0.014,0.03,0.0,0.0,2151.0,2002.0,2173.0,1107.0,1.0,1.0
sd,0.025,0.003,0.019,0.031,0.0,0.0,1686.0,1684.0,1662.0,1169.0,1.0,
nu_minus_one,37.513,30.759,1.858,101.876,0.728,0.56,1784.0,1507.0,1668.0,1098.0,1.0,
difference,0.022,0.004,0.014,0.03,0.0,0.0,2151.0,2002.0,2173.0,1107.0,1.0,1.0
d,0.904,0.196,0.532,1.305,0.004,0.003,2399.0,2399.0,2397.0,1225.0,1.0,1.0
