subject,effect,target_alternative,dwell_A,dwell_B,dwell_C,dwell_p,dwell_m,dwell_target,dwell_competitor,dwell_decoy
14,compromise,A,0.331,0.3412,0.3278,0.5308,0.4692,0.331,0.3412,0.3278
14,compromise,B,0.2888,0.3281,0.3831,0.58,0.42,0.3281,0.2888,0.3831
15,attraction,A,0.3197,0.4138,0.2665,0.5388,0.4612,0.3197,0.4138,0.2665
15,attraction,B,0.2587,0.396,0.3454,0.526,0.474,0.396,0.2587,0.3454
15,compromise,A,0.3302,0.4265,0.2433,0.5671,0.4329,0.3302,0.4265,0.2433
15,compromise,B,0.2907,0.412,0.2974,0.5305,0.4695,0.412,0.2907,0.2974
16,attraction,A,0.3191,0.4208,0.2601,0.489,0.511,0.3191,0.4208,0.2601
16,attraction,B,0.3492,0.3859,0.2649,0.5171,0.4829,0.3859,0.3492,0.2649
16,compromise,A,0.3202,0.3901,0.2896,0.4981,0.5019,0.3202,0.3901,0.2896
16,compromise,B,0.2785,0.3395,0.3819,0.5124,0.4876,0.3395,0.2785,0.3819
17,attraction,A,0.378,0.3453,0.2767,0.5094,0.4906,0.378,0.3453,0.2767
17,attraction,B,0.3464,0.348,0.3056,0.5154,0.4846,0.348,0.3464,0.3056
17,compromise,A,0.388,0.3062,0.3058,0.5237,0.4763,0.388,0.3062,0.3058
17,compromise,B,0.3034,0.3008,0.3958,0.5435,0.4565,0.3008,0.3034,0.3958
18,attraction,A,0.3921,0.3417,0.2662,0.4839,0.5161,0.3921,0.3417,0.2662
18,attraction,B,0.3844,0.334,0.2816,0.4965,0.5035,0.334,0.3844,0.2816
18,compromise,A,0.382,0.3767,0.2413,0.4613,0.5387,0.382,0.3767,0.2413
18,compromise,B,0.3134,0.356,0.3306,0.4862,0.5138,0.356,0.3134,0.3306
19,attraction,A,0.3667,0.3522,0.2811,0.5239,0.4761,0.3667,0.3522,0.2811
19,attraction,B,0.3321,0.3644,0.3035,0.4995,0.5005,0.3644,0.3321,0.3035
19,compromise,A,0.382,0.3442,0.2739,0.521,0.479,0.382,0.3442,0.2739
19,compromise,B,0.2584,0.3571,0.3845,0.5448,0.4552,0.3571,0.2584,0.3845
20,attraction,A,0.386,0.3396,0.2744,0.4635,0.5365,0.386,0.3396,0.2744
20,attraction,B,0.3698,0.3549,0.2753,0.4565,0.5435,0.3549,0.3698,0.2753
20,compromise,A,0.3647,0.3111,0.3242,0.4813,0.5187,0.3647,0.3111,0.3242
20,compromise,B,0.3637,0.3386,0.2977,0.4812,0.5188,0.3386,0.3637,0.2977
21,attraction,A,0.3497,0.4018,0.2484,0.4906,0.5094,0.3497,0.4018,0.2484
21,attraction,B,0.384,0.335,0.2811,0.5181,0.4819,0.335,0.384,0.2811
21,compromise,A,0.3163,0.3636,0.32,0.5128,0.4872,0.3163,0.3636,0.32
