,subject,trial,n_between-alt-diff,n_between-alt-same,n_within-alt,payne_index,payne_index_relaxed,n_dist0,n_dist1,n_dist2,n_diagonal,n_horizontal,n_vertical,n_competitor_decoy,n_target_competitor,n_target_decoy,within-alternative
2963,13,41,12.0,10.0,28.0,0.47368421052631576,0.12,28.0,15.0,7.0,11.0,11.0,28.0,7.0,12.0,3.0,28.0
2964,13,42,16.0,12.0,24.0,0.3333333333333333,-0.07692307692307693,24.0,21.0,7.0,10.0,18.0,24.0,8.0,7.0,13.0,24.0
2965,13,43,6.0,20.0,12.0,-0.25,-0.3684210526315789,12.0,24.0,2.0,2.0,24.0,12.0,2.0,18.0,6.0,12.0
2966,13,44,22.0,21.0,32.0,0.20754716981132076,-0.14666666666666667,32.0,36.0,7.0,16.0,27.0,32.0,36.0,0.0,0.0,39.0
2967,13,45,10.0,22.0,17.0,-0.1282051282051282,-0.30612244897959184,17.0,30.0,2.0,12.0,20.0,17.0,2.0,18.0,12.0,17.0
2968,13,46,30.0,12.0,20.0,0.25,-0.3548387096774194,20.0,38.0,4.0,14.0,28.0,20.0,20.0,4.0,18.0,20.0
2969,13,47,20.0,9.0,8.0,-0.058823529411764705,-0.5675675675675675,8.0,26.0,3.0,12.0,17.0,8.0,3.0,9.0,17.0,8.0
2970,13,48,13.0,12.0,34.0,0.4782608695652174,0.15254237288135594,34.0,22.0,3.0,11.0,14.0,34.0,17.0,0.0,0.0,42.0
2971,13,49,16.0,13.0,21.0,0.23529411764705882,-0.16,21.0,27.0,2.0,13.0,16.0,21.0,13.0,0.0,0.0,37.0
2972,13,50,18.0,19.0,16.0,-0.08571428571428572,-0.39622641509433965,16.0,22.0,15.0,10.0,27.0,16.0,7.0,15.0,15.0,16.0
2973,13,51,3.0,8.0,11.0,0.15789473684210525,0.0,11.0,10.0,1.0,3.0,8.0,11.0,1.0,5.0,5.0,11.0
2974,13,52,6.0,18.0,10.0,-0.2857142857142857,-0.4117647058823529,10.0,21.0,3.0,6.0,18.0,10.0,5.0,16.0,3.0,10.0
2975,13,53,9.0,21.0,7.0,-0.5,-0.6216216216216216,7.0,21.0,9.0,13.0,17.0,7.0,11.0,10.0,9.0,7.0
