,subject,block,trial,effect,target,key,choice,choice_tcd,rt,pA,pB,pC,mA,mB,mC,pos_A,pos_B,pos_C,pA_top,pB_top,pC_top
0,0,1,1,attraction,A,M,A,target,7220.0,0.78,0.62,0.76,11,15,10,1,0,2,True,False,False
1,0,1,2,attraction,B,M,B,target,7770.0,0.78,0.65,0.63,11,15,14,0,1,2,False,False,True
2,0,1,3,attraction,A,M,C,decoy,5870.0,0.72,0.62,0.7,12,15,11,2,0,1,False,True,True
3,0,1,4,attraction,B,L,C,decoy,9550.0,0.78,0.62,0.6,11,15,14,2,1,0,True,False,True
4,0,1,5,filler,,M,C,,3740.0,0.29,0.42,0.72,34,23,13,0,2,1,False,False,False
5,0,1,6,compromise,B,L,A,competitor,3650.0,0.72,0.68,0.58,12,14,18,0,2,1,False,False,False
6,0,1,7,compromise,B,L,B,target,7650.0,0.72,0.65,0.55,11,15,18,1,0,2,True,True,True
7,0,1,8,filler,,M,C,,3140.0,0.28,0.67,0.78,35,14,12,0,2,1,True,False,True
8,0,1,9,compromise,A,R,B,competitor,8060.000000000001,0.75,0.65,0.85,12,15,9,0,2,1,True,True,True
9,0,1,10,compromise,B,L,C,decoy,6160.0,0.72,0.62,0.55,12,14,18,2,1,0,True,True,True
10,0,1,11,compromise,A,L,A,target,6850.0,0.78,0.65,0.82,12,14,9,0,2,1,True,True,False
11,0,1,12,compromise,A,L,A,target,7440.0,0.72,0.68,0.82,12,15,8,0,1,2,True,False,True
12,0,1,13,compromise,B,L,C,decoy,11160.0,0.72,0.62,0.58,11,14,18,2,1,0,True,False,False
13,0,1,14,compromise,A,R,B,competitor,8970.0,0.78,0.68,0.88,11,15,9,0,2,1,True,False,False
14,0,1,15,compromise,A,M,A,target,8370.0,0.75,0.68,0.88,11,15,9,1,2,0,False,True,True
15,0,1,16,compromise,A,R,A,target,10860.0,0.75,0.65,0.82,12,15,8,2,1,0,True,True,True
16,0,1,17,attraction,B,M,C,decoy,6430.0,0.72,0.62,0.6,12,15,14,0,2,1,True,True,False
17,0,1,18,attraction,A,L,B,competitor,5280.0,0.78,0.68,0.76,11,15,10,2,0,1,False,False,False
18,0,1,19,compromise,B,L,B,target,6740.0,0.75,0.68,0.55,11,14,17,2,0,1,False,False,False
19,0,1,20,attraction,B,R,A,competitor,5290.0,0.75,0.62,0.6,11,15,14,2,0,1,True,True,True
20,0,1,21,compromise,B,M,C,decoy,11530.0,0.78,0.62,0.55,12,14,18,2,0,1,False,False,True
21,0,1,22,attraction,A,M,B,competitor,12580.0,0.72,0.65,0.7,12,15,11,2,1,0,False,True,True
22,0,1,23,attraction,A,M,A,target,9910.0,0.75,0.68,0.73,11,14,10,1,0,2,False,False,False
23,0,1,24,compromise,A,M,A,target,6950.0,0.75,0.62,0.88,11,15,9,1,0,2,True,False,True
24,0,1,25,compromise,B,M,A,competitor,7870.0,0.72,0.62,0.55,12,14,18,1,0,2,False,True,True
25,0,1,26,attraction,A,M,A,target,6000.0,0.72,0.65,0.7,11,15,10,1,0,2,False,False,True
26,0,1,27,filler,,L,C,,4300.0,0.24,0.37,0.76,41,27,13,1,2,0,True,True,False
27,0,1,28,attraction,B,L,A,competitor,7230.0,0.78,0.65,0.63,12,15,14,0,1,2,True,False,False
28,0,1,29,compromise,A,L,A,target,5150.0,0.78,0.68,0.85,11,15,8,0,2,1,False,True,True
29,0,1,30,attraction,B,L,A,competitor,5670.0,0.72,0.62,0.6,12,15,14,0,1,2,True,False,True
30,0,1,31,attraction,B,L,A,competitor,6700.0,0.78,0.62,0.6,12,15,14,0,1,2,True,True,True
31,0,1,32,compromise,B,L,B,target,7730.0,0.72,0.68,0.52,12,15,18,1,0,2,False,True,True
32,0,1,33,attraction,A,M,A,target,10290.0,0.78,0.62,0.76,12,14,11,1,2,0,False,False,True
33,0,1,34,compromise,B,M,A,competitor,11810.0,0.75,0.62,0.58,12,14,18,1,0,2,False,False,False
34,0,1,35,compromise,A,M,A,target,5640.0,0.78,0.68,0.82,12,15,9,1,2,0,True,False,True
35,0,1,36,compromise,B,M,B,target,13330.0,0.75,0.62,0.58,11,15,17,0,1,2,False,True,False
36,0,1,37,attraction,A,L,A,target,7930.0,0.75,0.65,0.73,11,15,10,0,2,1,True,False,False
37,0,1,38,compromise,A,R,A,target,8350.0,0.72,0.68,0.82,12,15,8,2,0,1,False,True,True
38,0,1,39,attraction,A,M,A,target,7200.0,0.75,0.65,0.73,12,14,11,1,2,0,False,False,False
39,0,1,40,attraction,B,L,B,target,12650.0,0.75,0.68,0.66,11,14,13,1,0,2,True,True,True
40,0,1,41,filler,,L,A,,10560.0,0.19,0.56,0.8,52,17,12,0,1,2,True,False,False
41,0,1,42,attraction,A,M,B,competitor,12210.0,0.75,0.65,0.73,12,14,11,0,1,2,True,True,False
42,0,1,43,attraction,B,L,A,competitor,15070.0,0.72,0.68,0.66,12,14,13,0,1,2,False,True,True
43,0,1,44,attraction,A,L,B,competitor,8870.0,0.72,0.68,0.7,11,14,10,2,0,1,False,True,True
44,0,1,45,compromise,A,M,A,target,9430.0,0.78,0.65,0.82,12,14,8,1,0,2,True,True,False
45,0,1,46,attraction,A,L,A,target,9610.0,0.72,0.65,0.7,11,14,10,0,2,1,False,True,False
46,0,1,47,compromise,A,L,A,target,13740.0,0.78,0.62,0.85,11,15,8,0,1,2,True,True,False
47,0,1,48,compromise,B,L,B,target,5250.0,0.72,0.65,0.52,12,15,17,2,0,1,False,False,True
48,0,1,49,compromise,B,R,A,competitor,11060.0,0.72,0.68,0.55,11,14,18,2,1,0,True,False,False
49,0,1,50,compromise,A,M,A,target,4770.0,0.78,0.62,0.85,12,14,8,1,0,2,True,False,False
50,0,1,51,attraction,B,M,A,competitor,5400.0,0.72,0.65,0.63,12,14,13,1,2,0,True,True,False
51,0,1,52,filler,,M,B,,12390.0,0.27,0.47,0.86,37,21,11,0,1,2,False,True,False
52,0,1,53,attraction,B,M,B,target,7890.0,0.72,0.62,0.6,12,14,13,0,1,2,False,True,True
53,0,1,54,attraction,B,R,A,competitor,9690.0,0.72,0.62,0.6,11,15,14,2,1,0,False,False,False
54,0,1,55,filler,,L,B,,14420.0,0.27,0.61,0.89,37,16,11,1,0,2,False,False,True
55,0,1,56,compromise,B,M,A,competitor,5180.0,0.78,0.65,0.52,12,14,17,1,0,2,True,False,False
56,0,1,57,filler,,M,B,,20820.0,0.16,0.46,0.87,62,21,11,0,1,2,False,False,False
57,0,1,58,filler,,L,B,,10050.0,0.31,0.38,0.85,32,26,11,1,0,2,False,True,False
58,0,1,59,attraction,A,L,A,target,9930.0,0.72,0.65,0.7,11,15,10,0,1,2,False,False,False
59,0,1,60,filler,,M,A,,12640.0,0.32,0.48,0.85,31,20,11,1,2,0,True,False,False
60,0,1,61,attraction,B,L,A,competitor,11020.0,0.78,0.62,0.6,11,14,13,0,1,2,True,False,True
61,0,1,62,attraction,A,L,A,target,8790.0,0.75,0.65,0.73,12,15,11,0,2,1,True,True,True
62,0,1,63,compromise,A,M,A,target,6660.0,0.72,0.65,0.82,12,15,8,1,0,2,False,True,False
63,0,1,64,compromise,A,R,A,target,9830.0,0.78,0.68,0.88,12,15,8,2,0,1,False,True,True
64,0,1,65,attraction,B,M,B,target,11890.0,0.78,0.68,0.66,11,14,13,2,1,0,True,False,False
65,0,1,66,filler,,R,A,,9380.0,0.32,0.6,0.78,31,16,12,2,0,1,True,True,True
66,0,1,67,filler,,L,C,,17390.0,0.19,0.59,0.81,52,16,12,2,1,0,False,False,False
67,0,1,68,compromise,B,R,C,decoy,12550.0,0.72,0.65,0.58,11,15,17,0,1,2,False,False,False
68,0,1,69,attraction,B,M,A,competitor,8109.999999999999,0.78,0.65,0.63,12,15,14,1,2,0,True,False,True
69,0,1,70,compromise,B,M,A,competitor,13330.0,0.75,0.65,0.55,12,14,17,1,0,2,False,True,True
70,0,1,71,attraction,A,M,A,target,13040.0,0.78,0.68,0.76,12,15,11,1,0,2,True,True,True
71,0,1,72,compromise,A,L,A,target,8570.0,0.75,0.62,0.88,12,15,8,0,2,1,False,False,True
72,0,1,73,attraction,A,L,A,target,10050.0,0.75,0.65,0.73,12,15,11,0,1,2,True,True,True
73,0,1,74,compromise,B,L,B,target,7110.0,0.72,0.68,0.58,11,15,18,2,0,1,True,True,True
74,0,1,75,attraction,B,M,B,target,11020.0,0.75,0.65,0.63,11,14,13,2,1,0,False,False,True
75,0,2,76,filler,,L,A,,8400.0,0.28,0.67,0.78,35,14,12,0,1,2,True,True,True
76,0,2,77,attraction,B,M,B,target,8840.0,0.72,0.62,0.6,9,14,13,2,1,0,True,True,True
77,0,2,78,attraction,B,M,B,target,8840.0,0.78,0.68,0.66,8,14,13,2,1,0,False,True,True
78,0,2,79,compromise,A,R,B,competitor,7500.0,0.72,0.68,0.82,9,15,4,1,2,0,True,False,True
79,0,2,80,compromise,B,M,C,decoy,18000.0,0.72,0.62,0.55,9,14,20,2,0,1,True,False,True
80,0,2,81,compromise,B,R,C,decoy,5970.0,0.72,0.62,0.58,8,14,20,0,1,2,True,False,True
81,0,2,82,attraction,B,R,B,target,12600.0,0.72,0.62,0.6,8,15,14,0,2,1,True,True,True
82,0,2,83,filler,,L,B,,15300.0,0.24,0.37,0.76,41,27,13,1,0,2,True,False,True
83,0,2,84,compromise,B,L,B,target,11510.0,0.72,0.65,0.52,9,15,19,1,0,2,False,True,False
84,0,2,85,attraction,A,R,A,target,13570.0,0.75,0.68,0.73,8,14,7,2,1,0,False,False,False
85,0,2,86,filler,,L,C,,12660.0,0.32,0.48,0.85,31,20,11,1,2,0,True,True,True
86,0,2,87,attraction,A,M,B,competitor,13880.0,0.72,0.65,0.7,8,14,7,2,1,0,False,False,False
87,0,2,88,attraction,A,L,B,competitor,8930.0,0.72,0.65,0.7,8,15,7,1,0,2,False,False,True
88,0,2,89,attraction,B,M,B,target,6730.0,0.75,0.62,0.6,8,15,14,2,1,0,False,True,False
89,0,2,90,filler,,R,A,,7560.0,0.19,0.59,0.81,52,16,12,2,0,1,False,True,True
90,0,2,91,attraction,B,L,B,target,8150.0,0.78,0.65,0.63,9,15,14,2,0,1,False,False,False
91,0,2,92,filler,,L,B,,12620.0,0.32,0.6,0.78,31,16,12,1,0,2,True,True,False
92,0,2,93,filler,,R,A,,15840.0,0.27,0.61,0.89,37,16,11,2,0,1,False,True,True
93,0,2,94,compromise,B,M,C,decoy,9330.0,0.75,0.68,0.55,8,14,19,0,2,1,False,False,False
94,0,2,95,attraction,A,M,B,competitor,8230.0,0.75,0.65,0.73,8,15,7,2,1,0,True,False,False
95,0,2,96,compromise,B,L,C,decoy,15180.0,0.75,0.62,0.58,9,14,20,1,2,0,True,True,False
96,0,2,97,compromise,A,L,A,target,11310.0,0.78,0.68,0.82,9,15,5,0,2,1,False,False,True
97,0,2,98,compromise,B,M,B,target,13290.0,0.72,0.68,0.58,8,15,20,2,1,0,False,True,False
98,0,2,99,compromise,A,R,A,target,13510.0,0.78,0.62,0.85,9,14,4,2,0,1,True,False,True
99,0,2,100,compromise,B,R,B,target,10150.0,0.72,0.68,0.55,8,14,20,1,2,0,False,True,True
100,0,2,101,attraction,A,R,A,target,9020.0,0.75,0.65,0.73,9,15,8,2,1,0,False,True,False
101,0,2,102,attraction,B,M,B,target,11790.0,0.72,0.65,0.63,9,14,13,2,1,0,True,True,True
102,0,2,103,attraction,A,R,A,target,12060.0,0.75,0.65,0.73,9,14,8,2,0,1,False,False,True
103,0,2,104,compromise,B,R,B,target,16020.0,0.78,0.62,0.55,9,14,20,1,2,0,False,False,True
104,0,2,105,attraction,B,M,B,target,10810.0,0.78,0.65,0.63,9,15,14,0,1,2,False,True,True
105,0,2,106,compromise,A,M,A,target,10230.0,0.75,0.65,0.82,9,15,4,1,2,0,False,True,False
106,0,2,107,compromise,A,R,B,competitor,6760.0,0.75,0.68,0.88,8,15,5,0,2,1,False,False,False
107,0,2,108,compromise,A,L,B,competitor,10250.0,0.72,0.65,0.82,9,15,4,2,0,1,False,True,False
108,0,2,109,compromise,B,R,C,decoy,15440.0,0.72,0.62,0.55,9,14,20,0,1,2,False,False,False
109,0,2,110,attraction,B,L,B,target,8820.0,0.75,0.68,0.66,8,14,13,1,0,2,True,False,False
110,0,2,111,compromise,B,R,B,target,13770.0,0.72,0.65,0.55,8,15,20,0,2,1,True,True,True
111,0,2,112,filler,,M,B,,15200.0,0.31,0.38,0.85,32,26,11,0,1,2,False,True,False
112,0,2,113,attraction,B,M,B,target,8660.0,0.72,0.62,0.6,9,15,14,2,1,0,False,False,True
113,0,2,114,attraction,A,L,A,target,10340.0,0.75,0.65,0.73,9,15,8,0,1,2,True,False,True
114,0,2,115,attraction,A,L,A,target,8050.000000000001,0.72,0.65,0.7,8,15,7,0,2,1,False,True,True
115,0,2,116,attraction,B,R,B,target,10990.0,0.75,0.65,0.63,8,14,13,0,2,1,False,True,True
116,0,2,117,compromise,B,M,C,decoy,14710.0,0.72,0.68,0.58,9,14,20,2,0,1,True,True,True
117,0,2,118,attraction,B,R,B,target,7510.0,0.72,0.68,0.66,9,14,13,0,2,1,True,True,True
118,0,2,119,compromise,B,L,B,target,9180.0,0.78,0.65,0.52,9,14,19,1,0,2,True,False,False
119,0,2,120,filler,,M,B,,11040.0,0.19,0.56,0.8,52,17,12,0,1,2,False,False,False
120,0,2,121,compromise,B,L,B,target,11420.0,0.72,0.65,0.58,8,15,19,2,0,1,False,False,False
121,0,2,122,compromise,A,M,B,competitor,11350.0,0.78,0.68,0.88,9,15,4,0,1,2,True,False,False
122,0,2,123,compromise,A,M,A,target,6160.0,0.78,0.68,0.88,8,15,5,1,0,2,False,True,True
123,0,2,124,attraction,A,L,A,target,10570.0,0.72,0.62,0.7,9,15,8,0,1,2,True,False,False
124,0,2,125,attraction,B,R,B,target,7440.0,0.78,0.65,0.63,8,15,14,1,2,0,True,True,False
125,0,2,126,filler,,M,B,,22470.0,0.16,0.46,0.87,62,21,11,2,1,0,True,True,False
126,0,2,127,compromise,B,R,C,decoy,9900.0,0.75,0.62,0.58,8,15,19,1,0,2,True,False,False
127,0,2,128,compromise,A,R,B,competitor,7070.0,0.78,0.68,0.85,8,15,4,0,2,1,False,False,True
128,0,2,129,attraction,A,M,A,target,9470.0,0.75,0.65,0.73,9,14,8,1,0,2,True,True,False
129,0,2,130,filler,,R,B,,10040.0,0.29,0.42,0.72,34,23,13,0,2,1,False,False,False
130,0,2,131,attraction,B,M,B,target,9550.0,0.78,0.62,0.6,9,15,14,0,1,2,True,True,False
131,0,2,132,compromise,A,M,A,target,3550.0,0.78,0.65,0.82,9,14,5,1,2,0,True,True,True
132,0,2,133,attraction,A,M,A,target,9600.0,0.78,0.62,0.76,8,15,7,1,0,2,False,True,True
133,0,2,134,attraction,B,M,B,target,6000.0,0.78,0.62,0.6,8,15,14,2,1,0,False,False,True
134,0,2,135,filler,,M,B,,12890.0,0.27,0.47,0.86,37,21,11,0,1,2,True,True,True
135,0,2,136,compromise,A,M,B,competitor,8950.0,0.78,0.62,0.85,8,15,4,0,1,2,False,False,True
136,0,2,137,compromise,A,R,A,target,10440.0,0.78,0.65,0.82,9,14,4,2,1,0,False,False,False
137,0,2,138,compromise,A,M,A,target,7530.0,0.75,0.62,0.88,9,15,4,1,2,0,True,False,False
138,0,2,139,attraction,A,R,A,target,12720.0,0.78,0.68,0.76,9,15,8,2,0,1,True,True,True
139,0,2,140,attraction,B,M,B,target,8189.999999999999,0.72,0.62,0.6,9,15,14,2,1,0,False,True,True
140,0,2,141,compromise,B,M,B,target,13050.0,0.75,0.65,0.55,9,14,19,0,1,2,True,False,False
141,0,2,142,attraction,B,M,B,target,5790.0,0.78,0.62,0.6,8,14,13,0,1,2,False,False,False
142,0,2,143,compromise,B,M,B,target,5810.0,0.72,0.68,0.52,9,15,20,0,1,2,False,True,False
143,0,2,144,attraction,A,R,A,target,9410.0,0.78,0.62,0.76,9,14,8,2,0,1,False,False,False
144,0,2,145,compromise,A,M,A,target,10640.0,0.75,0.65,0.85,9,15,5,1,2,0,True,False,True
145,0,2,146,attraction,A,M,B,competitor,14610.0,0.72,0.68,0.7,8,14,7,2,1,0,False,True,False
146,0,2,147,compromise,A,M,B,competitor,12160.0,0.75,0.62,0.88,8,15,5,2,1,0,False,True,True
147,0,2,148,attraction,A,R,A,target,8420.0,0.78,0.68,0.76,8,15,7,2,0,1,False,False,True
148,0,2,149,attraction,A,M,A,target,9170.0,0.72,0.65,0.7,9,15,8,1,0,2,False,False,True
149,0,2,150,compromise,A,M,B,competitor,11000.0,0.72,0.68,0.82,9,15,4,2,1,0,False,True,True
150,0,3,151,attraction,A,R,A,target,12300.0,0.78,0.68,0.76,10,15,9,2,1,0,True,True,True
151,0,3,152,compromise,A,M,A,target,9520.0,0.78,0.68,0.82,10,15,8,1,2,0,True,True,True
152,0,3,153,compromise,B,R,C,decoy,13030.0,0.72,0.68,0.55,9,14,25,1,0,2,True,True,True
153,0,3,154,compromise,A,M,A,target,6510.0,0.78,0.68,0.88,9,15,8,1,2,0,True,True,True
154,0,3,155,compromise,B,M,B,target,19090.0,0.72,0.68,0.52,10,15,25,0,1,2,False,True,True
155,0,3,156,compromise,B,M,C,decoy,12770.0,0.72,0.65,0.52,10,15,24,2,0,1,True,True,True
156,0,3,157,compromise,B,M,C,decoy,8640.0,0.75,0.65,0.55,10,14,24,0,2,1,False,True,False
157,0,3,158,attraction,B,L,B,target,14480.0,0.72,0.65,0.63,10,14,13,2,0,1,False,False,True
158,0,3,159,attraction,A,L,A,target,10630.0,0.78,0.62,0.76,10,14,9,0,1,2,False,True,True
159,0,3,160,attraction,A,R,B,competitor,6100.0,0.72,0.68,0.7,9,14,8,0,2,1,False,False,True
160,0,3,161,attraction,A,R,A,target,12220.0,0.72,0.62,0.7,10,15,9,2,0,1,True,False,False
161,0,3,162,compromise,A,M,A,target,8420.0,0.72,0.68,0.82,10,15,7,1,2,0,False,True,True
162,0,3,163,filler,,M,B,,21260.0,0.16,0.46,0.87,62,21,11,2,1,0,False,True,True
163,0,3,164,compromise,B,L,C,decoy,9470.0,0.75,0.62,0.58,9,15,24,2,1,0,True,True,True
164,0,3,165,attraction,A,L,A,target,11120.0,0.75,0.65,0.73,10,15,9,0,1,2,False,False,True
165,0,3,166,compromise,B,R,C,decoy,9950.0,0.78,0.62,0.55,10,14,25,0,1,2,False,False,False
166,0,3,167,attraction,B,R,B,target,8180.0,0.72,0.62,0.6,10,15,14,1,2,0,True,True,True
167,0,3,168,compromise,B,M,C,decoy,8010.0,0.72,0.65,0.58,9,15,24,0,2,1,False,True,True
168,0,3,169,compromise,A,M,A,target,17820.0,0.75,0.65,0.85,10,15,8,1,0,2,True,False,True
169,0,3,170,filler,,L,A,,14540.0,0.29,0.42,0.72,34,23,13,0,1,2,True,True,False
170,0,3,171,attraction,A,R,A,target,9480.0,0.75,0.65,0.73,10,15,9,2,0,1,False,False,True
171,0,3,172,filler,,M,A,,29080.0,0.32,0.6,0.78,31,16,12,1,0,2,False,True,False
172,0,3,173,filler,,M,B,,33480.0,0.31,0.38,0.85,32,26,11,0,1,2,False,True,True
173,0,3,174,compromise,A,L,A,target,11310.0,0.78,0.68,0.85,9,15,7,0,2,1,True,True,True
174,0,3,175,compromise,A,M,A,target,10290.0,0.75,0.65,0.82,10,15,7,1,2,0,True,True,False
175,0,3,176,filler,,R,B,,22130.0,0.24,0.37,0.76,41,27,13,1,2,0,True,False,False
176,0,3,177,filler,,M,B,,6490.0,0.32,0.48,0.85,31,20,11,2,1,0,True,False,True
177,0,3,178,compromise,A,R,A,target,11980.0,0.78,0.65,0.82,10,14,7,2,1,0,True,True,True
178,0,3,179,compromise,B,M,C,decoy,17380.0,0.78,0.65,0.52,10,14,24,2,0,1,False,False,True
179,0,3,180,attraction,B,L,B,target,7210.0,0.78,0.68,0.66,9,14,13,1,0,2,True,True,False
180,0,3,181,filler,,R,B,,15220.0,0.19,0.59,0.81,52,16,12,0,2,1,False,False,False
181,0,3,182,attraction,B,R,B,target,19320.0,0.78,0.62,0.6,9,15,14,1,2,0,True,True,False
182,0,3,183,compromise,A,L,A,target,8850.0,0.78,0.65,0.82,10,14,8,0,1,2,False,True,True
183,0,3,184,compromise,B,M,C,decoy,8109.999999999999,0.72,0.62,0.55,10,14,25,2,0,1,False,True,True
184,0,3,185,attraction,A,R,A,target,16980.0,0.75,0.65,0.73,9,15,8,2,0,1,False,False,True
185,0,3,186,attraction,B,R,B,target,8740.0,0.72,0.68,0.66,10,14,13,0,2,1,False,True,False
186,0,3,187,attraction,B,M,A,competitor,15140.0,0.78,0.62,0.6,10,15,14,1,0,2,True,False,True
187,0,3,188,attraction,A,L,A,target,11490.0,0.72,0.65,0.7,10,15,9,0,2,1,True,False,True
188,0,3,189,attraction,A,M,A,target,12110.0,0.75,0.68,0.73,9,14,8,1,0,2,False,True,False
189,0,3,190,attraction,B,R,B,target,8700.0,0.78,0.65,0.63,10,15,14,1,2,0,True,False,False
190,0,3,191,attraction,B,M,B,target,7480.0,0.72,0.62,0.6,9,15,14,2,1,0,True,False,False
191,0,3,192,attraction,A,M,A,target,11400.0,0.78,0.62,0.76,9,15,8,1,0,2,True,False,False
192,0,3,193,compromise,B,L,B,target,13470.0,0.72,0.68,0.58,9,15,25,2,0,1,False,True,False
193,0,3,194,filler,,M,B,,14550.0,0.27,0.47,0.86,37,21,11,0,1,2,True,False,False
194,0,3,195,attraction,B,R,B,target,10030.0,0.72,0.62,0.6,10,15,14,1,2,0,False,False,False
195,0,3,196,attraction,B,M,B,target,6680.0,0.78,0.65,0.63,9,15,14,2,1,0,True,True,False
196,0,3,197,compromise,A,R,B,competitor,12670.0,0.72,0.65,0.82,10,15,7,0,2,1,False,False,False
197,0,3,198,compromise,B,L,B,target,8350.0,0.75,0.68,0.55,9,14,24,2,0,1,False,True,True
198,0,3,199,compromise,B,M,C,decoy,11080.0,0.72,0.65,0.55,9,15,25,0,2,1,True,False,False
199,0,3,200,attraction,B,R,B,target,8740.0,0.78,0.62,0.6,9,14,13,0,2,1,True,True,True
200,0,3,201,attraction,B,R,B,target,11660.0,0.72,0.62,0.6,10,14,13,1,2,0,True,True,True
201,0,3,202,compromise,B,L,C,decoy,12400.0,0.75,0.62,0.58,10,14,25,2,1,0,True,False,True
202,0,3,203,compromise,B,L,C,decoy,6220.0,0.72,0.68,0.58,10,14,25,2,1,0,True,False,False
203,0,3,204,filler,,M,C,,15940.0,0.28,0.67,0.78,35,14,12,2,0,1,False,True,False
204,0,3,205,compromise,A,M,A,target,12810.0,0.78,0.62,0.85,10,14,7,1,0,2,False,False,False
205,0,3,206,compromise,A,M,A,target,6790.0,0.75,0.62,0.88,9,15,8,1,2,0,True,True,True
206,0,3,207,compromise,A,R,A,target,6480.0,0.78,0.68,0.88,10,15,7,2,1,0,True,True,True
207,0,3,208,attraction,B,L,B,target,20350.0,0.75,0.68,0.66,9,14,13,1,0,2,False,True,True
208,0,3,209,attraction,A,M,A,target,7050.0,0.72,0.65,0.7,9,15,8,1,2,0,False,True,True
209,0,3,210,compromise,A,L,A,target,11710.0,0.75,0.62,0.88,10,15,7,0,1,2,True,True,True
210,0,3,211,compromise,A,R,A,target,18050.0,0.72,0.68,0.82,10,15,7,2,0,1,False,True,False
211,0,3,212,compromise,B,M,C,decoy,17690.0,0.72,0.62,0.58,9,14,25,0,2,1,True,True,False
212,0,3,213,filler,,R,B,,9770.0,0.27,0.61,0.89,37,16,11,0,2,1,True,False,False
213,0,3,214,compromise,A,R,B,competitor,8730.0,0.75,0.68,0.88,9,15,8,1,2,0,False,True,True
214,0,3,215,attraction,B,R,B,target,8000.0,0.75,0.62,0.6,9,15,14,0,2,1,True,True,True
215,0,3,216,attraction,A,M,A,target,9350.0,0.75,0.65,0.73,10,14,9,1,2,0,True,False,False
216,0,3,217,compromise,B,M,B,target,11340.0,0.72,0.62,0.55,10,14,25,2,1,0,False,False,False
217,0,3,218,attraction,A,M,A,target,8560.0,0.72,0.65,0.7,9,15,8,1,2,0,True,True,True
218,0,3,219,filler,,R,B,,23580.0,0.19,0.56,0.8,52,17,12,1,2,0,True,False,False
219,0,3,220,attraction,A,L,A,target,9890.0,0.75,0.65,0.73,10,14,9,0,2,1,False,True,True
220,0,3,221,attraction,A,L,A,target,10530.0,0.72,0.65,0.7,9,14,8,0,2,1,False,False,False
221,0,3,222,attraction,B,R,C,decoy,13030.0,0.75,0.65,0.63,9,14,13,1,0,2,True,True,False
222,0,3,223,attraction,B,L,B,target,13530.0,0.78,0.65,0.63,10,15,14,1,0,2,True,True,True
223,0,3,224,compromise,A,M,A,target,9070.0,0.78,0.62,0.85,9,15,7,1,0,2,True,True,True
224,0,3,225,attraction,A,R,A,target,6100.0,0.78,0.68,0.76,9,15,8,2,0,1,False,False,False
0,1,1,1,attraction,A,L,A,target,5220.0,0.72,0.65,0.7,4,15,3,0,1,2,False,False,True
1,1,1,2,filler,,M,C,,3270.0,0.16,0.46,0.87,62,21,11,2,0,1,False,True,True
2,1,1,3,attraction,B,R,A,competitor,5780.0,0.75,0.68,0.66,4,14,13,2,1,0,True,False,True
3,1,1,4,compromise,B,M,C,decoy,7540.0,0.72,0.62,0.58,4,14,35,0,2,1,False,False,False
4,1,1,5,attraction,B,R,B,target,4810.0,0.72,0.62,0.6,5,15,14,0,2,1,False,False,False
5,1,1,6,attraction,B,M,A,competitor,3830.0,0.78,0.62,0.6,4,15,14,1,0,2,True,True,True
6,1,1,7,compromise,B,M,C,decoy,9030.0,0.75,0.65,0.55,5,14,34,0,2,1,True,False,True
7,1,1,8,compromise,B,R,B,target,6750.0,0.72,0.68,0.52,5,15,35,0,2,1,True,True,True
8,1,1,9,attraction,B,M,B,target,6390.0,0.78,0.65,0.63,5,15,14,2,1,0,True,True,True
9,1,1,10,compromise,A,R,B,competitor,7390.0,0.75,0.62,0.88,4,15,3,0,2,1,True,True,False
10,1,1,11,compromise,A,M,B,competitor,5510.0,0.75,0.65,0.85,5,15,3,0,1,2,True,False,True
11,1,1,12,compromise,A,M,B,competitor,3400.0,0.78,0.62,0.85,4,15,2,2,1,0,True,False,False
12,1,1,13,filler,,M,C,,5690.0,0.32,0.48,0.85,31,20,11,0,2,1,True,False,False
13,1,1,14,compromise,A,R,B,competitor,4070.0000000000005,0.78,0.68,0.85,4,15,2,1,2,0,False,True,True
14,1,1,15,compromise,B,M,B,target,3980.0,0.75,0.68,0.55,4,14,34,2,1,0,True,True,True
15,1,1,16,compromise,A,R,B,competitor,7220.0,0.72,0.68,0.82,5,15,2,0,2,1,True,True,False
16,1,1,17,compromise,A,L,B,competitor,3940.0,0.72,0.68,0.82,5,15,2,2,0,1,False,False,False
17,1,1,18,compromise,A,L,B,competitor,3870.0,0.78,0.65,0.82,5,14,2,2,0,1,False,False,False
18,1,1,19,attraction,A,L,B,competitor,4710.0,0.72,0.65,0.7,4,14,3,2,0,1,True,True,True
19,1,1,20,attraction,A,L,B,competitor,5560.0,0.75,0.65,0.73,5,15,4,2,0,1,False,False,True
20,1,1,21,compromise,B,R,A,competitor,9910.0,0.75,0.62,0.58,5,14,35,2,1,0,False,True,True
21,1,1,22,attraction,B,L,B,target,4250.0,0.75,0.65,0.63,4,14,13,1,0,2,False,False,False
22,1,1,23,compromise,B,L,B,target,5850.0,0.72,0.68,0.58,4,15,35,1,0,2,True,False,True
23,1,1,24,compromise,B,L,B,target,8480.0,0.72,0.65,0.55,4,15,35,1,0,2,False,True,True
24,1,1,25,compromise,B,L,B,target,5420.0,0.72,0.65,0.52,5,15,34,1,0,2,False,False,True
25,1,1,26,compromise,A,R,B,competitor,8640.0,0.75,0.62,0.88,5,15,2,1,2,0,True,True,False
