,subject,block,trial,effect,target,key,choice,choice_tcd,rt,pA,pB,pC,mA,mB,mC,pos_A,pos_B,pos_C,pA_top,pB_top,pC_top
224,39,3,225,attraction,A,R,A,target,3910.0,0.78,0.68,0.76,12,15,11,2,0,1,False,False,False
0,41,1,1,attraction,B,L,B,target,5010.0,0.75,0.62,0.6,9,15,14,1,0,2,False,True,True
1,41,1,2,attraction,B,R,B,target,5290.0,0.78,0.68,0.66,9,14,13,1,2,0,False,False,True
2,41,1,3,compromise,A,L,B,competitor,5680.0,0.78,0.62,0.85,9,15,7,1,0,2,False,False,False
3,41,1,4,compromise,B,L,C,decoy,6360.0,0.75,0.65,0.55,10,14,21,1,2,0,True,False,True
4,41,1,5,filler,,L,A,,9990.0,0.32,0.48,0.85,31,20,11,0,1,2,False,True,False
5,41,1,6,attraction,B,R,B,target,3860.0,0.72,0.62,0.6,10,15,14,0,2,1,True,False,False
6,41,1,7,compromise,B,M,C,decoy,6960.0,0.75,0.62,0.58,10,14,22,2,0,1,False,True,True
7,41,1,8,attraction,A,R,B,competitor,2780.0,0.75,0.68,0.73,9,14,8,1,2,0,False,False,False
8,41,1,9,compromise,A,M,A,target,4850.0,0.78,0.65,0.82,10,14,8,1,0,2,True,True,True
9,41,1,10,compromise,B,M,B,target,5410.0,0.72,0.68,0.55,9,14,22,0,1,2,True,False,False
10,41,1,11,filler,,M,B,,4530.0,0.24,0.37,0.76,41,27,13,0,1,2,True,True,False
11,41,1,12,attraction,A,M,B,competitor,7450.0,0.78,0.62,0.76,10,14,9,0,1,2,False,True,True
12,41,1,13,compromise,A,L,B,competitor,6970.0,0.72,0.68,0.82,10,15,7,2,0,1,False,True,True
13,41,1,14,filler,,M,A,,7220.0,0.16,0.46,0.87,62,21,11,1,0,2,True,True,False
14,41,1,15,compromise,A,R,B,competitor,7690.0,0.75,0.65,0.82,10,15,7,0,2,1,False,True,False
15,41,1,16,attraction,B,M,B,target,3820.0,0.72,0.65,0.63,10,14,13,0,1,2,True,True,False
16,41,1,17,attraction,A,L,B,competitor,3830.0,0.78,0.68,0.76,9,15,8,2,0,1,False,False,True
17,41,1,18,attraction,B,R,A,competitor,3000.0,0.75,0.68,0.66,9,14,13,2,1,0,True,False,False
18,41,1,19,compromise,A,M,A,target,2750.0,0.78,0.65,0.82,10,14,7,1,0,2,True,False,False
19,41,1,20,attraction,A,M,A,target,5290.0,0.72,0.65,0.7,9,15,8,1,2,0,True,True,False
20,41,1,21,attraction,A,L,A,target,11450.0,0.75,0.65,0.73,10,14,9,0,1,2,False,True,False
21,41,1,22,attraction,A,M,B,competitor,2100.0,0.75,0.65,0.73,10,15,9,0,1,2,False,True,True
22,41,1,23,compromise,A,M,B,competitor,2390.0,0.75,0.62,0.88,9,15,8,2,1,0,False,False,False
23,41,1,24,compromise,B,M,A,competitor,4400.0,0.72,0.62,0.55,10,14,22,1,0,2,False,False,True
24,41,1,25,filler,,R,C,,5960.0,0.29,0.42,0.72,34,23,13,1,0,2,True,False,False
25,41,1,26,compromise,B,R,C,decoy,4890.0,0.78,0.62,0.55,10,14,22,0,1,2,False,False,False
26,41,1,27,filler,,R,C,,6550.0,0.27,0.61,0.89,37,16,11,1,0,2,False,True,False
27,41,1,28,attraction,B,M,B,target,3430.0,0.72,0.62,0.6,10,15,14,0,1,2,False,False,False
28,41,1,29,attraction,B,R,B,target,7140.0,0.78,0.62,0.6,9,14,13,1,2,0,True,False,False
29,41,1,30,compromise,B,R,C,decoy,4420.0,0.75,0.62,0.58,9,15,21,0,1,2,True,False,True
30,41,1,31,compromise,A,R,B,competitor,2820.0,0.72,0.65,0.82,10,15,7,0,2,1,True,True,True
31,41,1,32,compromise,B,R,C,decoy,7300.0,0.72,0.65,0.55,9,15,22,1,0,2,False,True,False
32,41,1,33,attraction,B,L,B,target,4220.0,0.72,0.62,0.6,9,15,14,2,0,1,False,True,True
33,41,1,34,compromise,A,M,B,competitor,5230.0,0.72,0.68,0.82,10,15,7,2,1,0,True,False,False
34,41,1,35,attraction,A,L,B,competitor,2850.0,0.72,0.62,0.7,10,15,9,2,0,1,True,True,True
35,41,1,36,attraction,A,M,B,competitor,2940.0,0.75,0.65,0.73,10,15,9,2,1,0,False,False,False
36,41,1,37,filler,,R,C,,3180.0,0.28,0.67,0.78,35,14,12,0,1,2,False,False,False
37,41,1,38,attraction,B,R,B,target,7480.0,0.78,0.65,0.63,10,15,14,1,2,0,True,False,True
38,41,1,39,compromise,A,M,A,target,3910.0,0.75,0.65,0.85,10,15,8,1,0,2,False,True,True
39,41,1,40,filler,,R,C,,5580.0,0.19,0.56,0.8,52,17,12,1,0,2,True,True,True
