,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat,p>0
mean,0.116,0.049,0.014,0.204,0.002,0.002,474.0,474.0,499.0,637.0,1.0,0.9915
sd,0.243,0.047,0.132,0.322,0.003,0.002,287.0,287.0,329.0,131.0,1.01,
nu_minus_one,29.746,30.535,0.032,96.179,1.041,0.736,860.0,860.0,340.0,267.0,1.0,
difference,0.116,0.049,0.014,0.204,0.002,0.002,474.0,474.0,499.0,637.0,1.0,0.9915
d,0.48,0.191,0.105,0.847,0.006,0.005,894.0,894.0,936.0,744.0,1.0,0.9915
