,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat,p>0
mean,0.053,0.032,-0.012,0.119,0.001,0.001,1373.0,1346.0,1390.0,966.0,1.0,0.9515
sd,0.194,0.028,0.142,0.248,0.001,0.001,1277.0,1277.0,1265.0,1017.0,1.0,
nu_minus_one,33.966,31.218,1.077,97.153,0.826,0.584,1429.0,1429.0,1383.0,1294.0,1.0,
difference,0.053,0.032,-0.012,0.119,0.001,0.001,1373.0,1346.0,1390.0,966.0,1.0,0.9515
d,0.281,0.17,-0.062,0.602,0.005,0.003,1391.0,1391.0,1392.0,1176.0,1.0,0.9515
