subject,effect,A,B,C,competitor,decoy,target,rst
37,compromise,0.3125,0.3125,0.375,0.25,0.375,0.375,0.6
38,attraction,0.5938,0.4062,0.0,0.4688,0.0,0.5312,0.5312
38,compromise,0.625,0.3333,0.0417,0.3333,0.0417,0.625,0.6522
39,attraction,0.25,0.625,0.125,0.4896,0.125,0.3854,0.4405
39,compromise,0.1458,0.3854,0.4688,0.3854,0.4688,0.1458,0.2745
41,attraction,0.1979,0.7604,0.0417,0.4375,0.0417,0.5208,0.5435
41,compromise,0.1979,0.4896,0.3125,0.3021,0.3125,0.3854,0.5606
42,attraction,0.375,0.6042,0.0208,0.2812,0.0208,0.6979,0.7128
42,compromise,0.3542,0.2708,0.375,0.2917,0.375,0.3333,0.5333
43,attraction,0.0521,0.8854,0.0625,0.5104,0.0625,0.4271,0.4556
43,compromise,0.0417,0.5208,0.4375,0.4896,0.4375,0.0729,0.1296
