,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
mean,0.041,0.149,-0.278,0.304,0.004,0.003,1119.0,1023.0,1141.0,1012.0,1.0
sd,0.858,0.149,0.579,1.151,0.004,0.003,1112.0,1112.0,1089.0,1139.0,1.0
nu_minus_one,15.575,21.136,0.532,57.097,0.596,0.421,1259.0,1259.0,1153.0,1409.0,1.0
difference,0.041,0.149,-0.278,0.304,0.004,0.003,1119.0,1023.0,1141.0,1012.0,1.0
d,0.054,0.177,-0.295,0.393,0.005,0.004,1189.0,1124.0,1184.0,1085.0,1.0
