,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat,p>0
mean,0.608,0.098,0.409,0.799,0.003,0.002,981.0,935.0,1004.0,1133.0,1.0,1.0
sd,0.488,0.121,0.27,0.716,0.005,0.003,705.0,705.0,679.0,531.0,1.0,
nu_minus_one,7.756,13.33,0.051,34.218,0.442,0.313,910.0,910.0,748.0,1119.0,1.0,
difference,0.608,0.098,0.409,0.799,0.003,0.002,981.0,935.0,1004.0,1133.0,1.0,1.0
d,1.312,0.343,0.704,2.029,0.012,0.009,789.0,719.0,843.0,891.0,1.0,1.0
