,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
mean,-0.039,0.013,-0.063,-0.01,0.0,0.0,2215.0,2112.0,2234.0,1314.0,1.0
sd,0.078,0.01,0.061,0.098,0.0,0.0,1982.0,1949.0,2011.0,1479.0,1.0
nu_minus_one,37.022,30.372,1.378,97.519,0.673,0.523,2034.0,1688.0,1994.0,1450.0,1.0
difference,-0.039,0.013,-0.063,-0.01,0.0,0.0,2215.0,2112.0,2234.0,1314.0,1.0
d,-0.511,0.185,-0.88,-0.17,0.004,0.003,2314.0,2288.0,2304.0,1215.0,1.0
