,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
mean,-0.385,0.136,-0.635,-0.111,0.003,0.002,1769.0,1769.0,1778.0,1326.0,1.0
sd,0.8,0.103,0.618,1.014,0.003,0.002,1463.0,1463.0,1436.0,922.0,1.0
nu_minus_one,34.312,28.241,0.708,85.262,0.631,0.458,2003.0,1900.0,1793.0,1178.0,1.0
difference,-0.385,0.136,-0.635,-0.111,0.003,0.002,1769.0,1769.0,1778.0,1326.0,1.0
d,-0.489,0.181,-0.821,-0.131,0.004,0.003,1727.0,1727.0,1729.0,1235.0,1.0
