,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat,p>0
mean,0.989,0.124,0.746,1.24,0.004,0.003,1077.0,1063.0,1079.0,1148.0,1.0,1.0
sd,0.724,0.104,0.508,0.924,0.004,0.003,853.0,853.0,837.0,636.0,1.01,
nu_minus_one,30.077,27.795,0.301,86.949,0.671,0.475,1716.0,1716.0,1074.0,691.0,1.0,
difference,0.989,0.124,0.746,1.24,0.004,0.003,1077.0,1063.0,1079.0,1148.0,1.0,1.0
d,1.393,0.252,0.934,1.895,0.007,0.005,1233.0,1122.0,1323.0,1090.0,1.0,1.0
