,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
mean,-0.152,0.187,-0.518,0.217,0.007,0.005,787.0,787.0,813.0,789.0,1.0
sd,0.943,0.263,0.475,1.424,0.011,0.008,567.0,567.0,577.0,906.0,1.01
nu_minus_one,8.741,16.664,0.002,38.521,0.577,0.408,834.0,834.0,558.0,581.0,1.0
difference,-0.152,0.187,-0.518,0.217,0.007,0.005,787.0,787.0,813.0,789.0,1.0
d,-0.199,0.237,-0.672,0.25,0.009,0.006,755.0,755.0,726.0,810.0,1.0
