,count,mean,std,min,25%,50%,75%,max
alpha,40.0,0.47,0.35,0.05,0.25,0.37,0.61,1.67
beta,40.0,6.81,9.87,0.04,1.13,3.25,8.04,49.74
gamma,40.0,0.81,0.25,0.22,0.58,1.0,1.0,1.0
lam,40.0,0.29,0.2,0.08,0.14,0.23,0.46,0.65
theta,40.0,0.69,0.18,0.13,0.63,0.72,0.83,0.95
