,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat,p>0
mean,-0.024,0.013,-0.048,0.002,0.0,0.0,970.0,970.0,976.0,939.0,1.01,
sd,0.067,0.014,0.042,0.093,0.001,0.0,639.0,639.0,625.0,958.0,1.0,
nu_minus_one,10.193,15.026,0.136,41.217,0.512,0.363,860.0,860.0,552.0,1049.0,1.0,
difference,-0.024,0.013,-0.048,0.002,0.0,0.0,970.0,970.0,976.0,939.0,1.01,0.032
d,-0.388,0.221,-0.817,0.02,0.008,0.006,800.0,800.0,792.0,958.0,1.0,0.032
