model,count,mean,std,min,25%,50%,75%,max
glickman1layer,40.0,230.62836684346976,66.79695824389115,66.87063650047205,183.44214367332944,236.49714444510215,285.3084632762005,343.701224450375
gaze-baseline-dyn,40.0,302.45639068998275,86.15026351182023,130.00947030741114,240.91821419076115,322.8383787869038,356.5824021271908,482.52701765528917
mdft,40.0,345.7743921526164,82.44205866938913,143.29606050787234,306.64616224822583,338.73004374726486,384.2782664627067,522.0188109141491
eu,40.0,360.5712383484376,72.56214212839316,142.95319368181075,331.70286279656824,364.6974142539313,406.853098542348,482.60217515722877
gaze-baseline-stat,40.0,414.80900491730483,36.808804004242404,333.9197995110688,390.30172369648415,415.7593391041788,439.4411689933878,495.0166163441629
