,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat,p>0
Intercept,0.265,0.034,0.2,0.333,0.001,0.001,789.0,747.0,793.0,898.0,1.01,1.0
x,0.448,0.063,0.32,0.567,0.002,0.002,807.0,807.0,815.0,1007.0,1.01,1.0
sd,0.058,0.007,0.046,0.073,0.0,0.0,794.0,777.0,822.0,816.0,1.0,1.0
