,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat,p>0
Intercept,0.273,0.031,0.208,0.329,0.001,0.001,502.0,502.0,507.0,633.0,1.0,1.0
x,0.384,0.054,0.284,0.491,0.002,0.002,516.0,515.0,519.0,679.0,1.0,1.0
sd,0.042,0.005,0.034,0.052,0.0,0.0,642.0,642.0,595.0,327.0,1.0,1.0
