,count,mean,std,min,25%,50%,75%,max
alpha,40.0,0.47,0.36,0.01,0.25,0.37,0.62,1.78
beta,40.0,2.27,1.82,0.01,0.73,1.84,4.15,5.0
gamma,40.0,0.82,0.24,0.33,0.58,1.0,1.0,1.0
lam,40.0,0.19,0.22,0.04,0.06,0.11,0.21,1.0
theta,40.0,0.69,0.18,0.15,0.62,0.73,0.8,0.97
