,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat,p>0
Intercept,0.268,0.035,0.2,0.342,0.001,0.001,596.0,583.0,603.0,727.0,1.0,1.0
x,0.386,0.06,0.251,0.492,0.002,0.002,613.0,613.0,620.0,767.0,1.0,1.0
sd,0.048,0.006,0.038,0.06,0.0,0.0,729.0,725.0,737.0,808.0,1.0,1.0
