,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat,p>0
Intercept,-0.214,0.17,-0.5,0.117,0.005,0.003,1312.0,1221.0,1315.0,1378.0,1.0,0.115
dwell_decoy_z,-0.203,0.217,-0.593,0.23,0.006,0.005,1262.0,1142.0,1260.0,1213.0,1.0,0.1675
is_attraction,0.289,0.234,-0.145,0.725,0.007,0.005,1228.0,1130.0,1228.0,1167.0,1.0,0.8865
dwell_decoy_z:is_attraction,0.537,0.252,0.033,0.974,0.007,0.005,1362.0,1355.0,1366.0,1094.0,1.01,0.981
sd,0.985,0.086,0.825,1.145,0.002,0.002,1503.0,1503.0,1408.0,801.0,1.0,
dwell_decoy_attr,0.334,0.129,0.094,0.578,0.003,0.002,2074.0,2023.0,2088.0,1723.0,1.0,0.9955
