subject,effect,dwell_decoy,rst,rst_z,dwell_decoy_z,is_attraction
0,attraction,0.308343939105154,0.7935,1.7861601227541857,0.9832990523211128,1
0,compromise,0.29222604805192165,0.7534,1.4938339790197874,0.29605191990872287,0
1,attraction,0.3077612808188583,0.5263,-0.1617088449722772,0.9584552166660288,1
1,compromise,0.2743453431724222,0.3151,-1.701341801498583,-0.4663594348623986,0
2,attraction,0.279095060118399,0.5,-0.3534339716609222,-0.2638373220057991,1
2,compromise,0.27151268344648627,0.5955,0.3427542260107741,-0.5871405759757163,0
3,attraction,0.2942301666724855,0.4945,-0.3935285799037948,0.3815050831326165,1
3,compromise,0.3140807475693561,0.3667,-1.3251814768927241,1.2279095384697554,0
4,attraction,0.3037540057737335,0.6064,0.4222144496193762,0.7875899170772572,1
4,compromise,0.2965248170142617,0.5882,0.28953774597932447,0.47934616308944666,0
5,attraction,0.2828128597897318,0.7234,1.2751361158768468,-0.10531489778983551,1
5,compromise,0.29473639774466753,0.814,1.9356036625685284,0.40309015599023224,0
6,attraction,0.22164899611404165,0.4375,-0.809054519875383,-2.7132671279887464,1
6,compromise,0.2845930549755852,0.4667,-0.5961885997495869,-0.029409555548009232,0
7,attraction,0.29261213668568675,0.8229,2.000484028634268,0.31251426634944235,1
7,compromise,0.26260154302899447,0.4638,-0.617329393186738,-0.9671006885127236,0
8,attraction,0.2830719832976189,0.5208,-0.20180345321514936,-0.09426618880254334,1
8,compromise,0.2560233637482812,0.6196,0.5184415094022703,-1.2475861957192107,0
9,attraction,0.28126577347346376,0.5368,-0.0851645928722473,-0.17128076335736797,1
9,compromise,0.2742079078289245,0.6056,0.416382506602231,-0.4722195095706192,0
10,attraction,0.3212656552109387,0.4787,-0.5087094544924103,1.534265199828767,1
10,compromise,0.3022341255046907,0.4588,-0.653779037043895,0.722784084039915,0
11,attraction,0.30958128299282317,0.5,-0.3534339716609222,1.036057880123097,1
11,compromise,0.274661936831219,0.5256,-0.1668117951122794,-0.4528602690329836,0
12,attraction,0.3016507510582605,0.4947,-0.3920705941495087,0.6979097121938903,1
12,compromise,0.29408560143792295,0.4659,-0.6020205427667322,0.37534099860247994,0
13,attraction,0.21428219932817127,0.5638,0.11166348395639913,-3.0273783196721586,1
13,compromise,0.28384469503478127,0.6282,0.5811348968365796,-0.061318706790637334,0
14,attraction,0.3043098387215737,0.8632,2.2942681581229523,0.8112899531577764,1
14,compromise,0.29685473438762267,0.5476,-0.006433362140789056,0.49341343578824565,0
15,attraction,0.30350956751055647,0.5106,-0.2761607266837493,0.7771673689370896,1
