subject,block,block_onset,trial,fixation_cross_onset,trial_onset,rt,choice,key,pA,mA,pB,mB,pCA,mCA,pCB,mCB,missing,condition,position_A,position_B,position_C,noise_Ap,noise_Am,noise_Bp,noise_Bm,noise_Cp,noise_Cm,attribute_positions
4,Practice,1077.04,P1,1077.1,1078.62,18.29,A,right,0.78,7,0.62,17,0.85,3,0.55,24,-999,2.0,3,1,2,3.0,-2.0,-3.0,2.0,0.0,-1.0,1
4,Practice,1077.04,P2,1097.24,1098.76,17.47,B,mid,0.72,7,0.62,16,0.88,5,0.58,26,-999,2.0,1,2,3,-3.0,-2.0,-3.0,1.0,3.0,1.0,10
4,Practice,1077.04,P3,1116.57,1118.09,13.04,A,mid,0.75,11,0.68,13,0.85,4,0.55,25,-999,1.0,2,3,1,0.0,2.0,3.0,-2.0,0.0,0.0,110
4,Practice,1077.04,P4,1131.47,1132.98,12.23,A,right,0.75,9,0.65,15,0.88,5,0.58,26,-999,1.0,3,1,2,0.0,0.0,0.0,0.0,3.0,1.0,100
4,Practice,1077.04,P5,1145.54,1147.06,25.05,B,right,0.72,11,0.62,13,0.85,6,0.55,27,-999,1.0,1,3,2,-3.0,2.0,-3.0,-2.0,0.0,2.0,101
4,Practice,1077.04,P6,1172.45,1173.97,9.99,C,left,0.78,7,0.62,13,0.82,6,0.52,27,-999,2.0,2,3,1,3.0,-2.0,-3.0,-2.0,-3.0,2.0,110
4,Practice,1077.04,P7,1184.3,1185.82,16.51,C,right,0.75,7,0.65,17,0.85,5,0.55,26,-999,2.0,2,1,3,0.0,-2.0,0.0,2.0,0.0,1.0,111
4,Practice,1077.04,P8,1202.66,1204.18,22.5,A,right,0.72,8,0.68,15,0.82,6,0.52,27,-999,2.0,3,1,2,-3.0,-1.0,3.0,0.0,-3.0,2.0,110
4,Practice,1077.04,P9,1227.02,1228.53,19.93,A,right,0.78,8,0.62,16,0.88,5,0.58,26,-999,1.0,3,1,2,3.0,-1.0,-3.0,1.0,3.0,1.0,1
4,Practice,1077.04,P10,1248.81,1250.33,7.11,A,left,0.75,10,0.65,16,0.82,2,0.52,23,-999,2.0,1,2,3,0.0,1.0,0.0,1.0,-3.0,-2.0,101
4,Practice,1077.04,P11,1257.78,1259.29,6.43,A,mid,0.72,8,0.65,15,0.85,5,0.55,26,-999,2.0,2,3,1,-3.0,-1.0,0.0,0.0,0.0,1.0,0
4,Practice,1077.04,P12,1266.06,1267.57,3.43,B,right,0.72,8,0.68,15,0.85,5,0.55,26,-999,1.0,2,3,1,-3.0,-1.0,3.0,0.0,0.0,1.0,101
4,Practice,1077.04,P13,1271.34,1272.85,2.57,A,mid,0.78,11,0.68,16,0.88,5,0.58,26,-999,1.0,2,1,3,3.0,2.0,3.0,1.0,3.0,1.0,111
4,Practice,1077.04,P14,1275.77,1277.29,9.11,A,right,0.72,11,0.62,17,0.82,3,0.52,24,-999,2.0,3,2,1,-3.0,2.0,-3.0,2.0,-3.0,-1.0,0
4,Practice,1077.04,P15,1286.73,1288.25,4.73,B,right,0.78,7,0.68,14,0.88,5,0.58,26,-999,2.0,2,3,1,3.0,-2.0,3.0,-1.0,3.0,1.0,10
4,Practice,1077.04,P16,1293.31,1294.83,8.12,B,left,0.78,7,0.65,13,0.82,2,0.52,23,-999,2.0,2,1,3,3.0,-2.0,0.0,-2.0,-3.0,-2.0,1
4,Practice,1077.04,P17,1303.29,1304.81,8.72,B,mid,0.72,10,0.65,13,0.82,5,0.52,26,-999,2.0,3,2,1,-3.0,1.0,0.0,-2.0,-3.0,1.0,110
4,Practice,1077.04,P18,1313.87,1315.39,8.55,C,mid,0.78,7,0.68,13,0.88,2,0.58,23,-999,2.0,3,1,2,3.0,-2.0,3.0,-2.0,3.0,-2.0,10
4,Practice,1077.04,P19,1324.29,1325.8,9.29,B,left,0.78,11,0.62,15,0.85,4,0.55,25,-999,1.0,3,1,2,3.0,2.0,-3.0,0.0,0.0,0.0,110
4,Practice,1077.04,P20,1335.43,1336.95,5.88,A,left,0.72,7,0.65,14,0.88,4,0.58,25,-999,1.0,1,3,2,-3.0,-2.0,0.0,-1.0,3.0,0.0,11
4,Practice,1077.04,P21,1343.16,1344.68,5.78,A,right,0.78,9,0.65,16,0.85,2,0.55,23,-999,1.0,3,1,2,3.0,0.0,0.0,1.0,0.0,-2.0,0
4,Practice,1077.04,P22,1350.8,1352.31,2.98,B,right,0.72,9,0.62,15,0.85,2,0.55,23,-999,1.0,1,3,2,-3.0,0.0,-3.0,0.0,0.0,-2.0,10
4,Practice,1077.04,P23,1355.63,1357.14,4.77,A,right,0.72,7,0.65,13,0.88,3,0.58,24,-999,1.0,3,1,2,-3.0,-2.0,0.0,-2.0,3.0,-1.0,100
4,Practice,1077.04,P24,1362.26,1363.78,4.32,C,right,0.78,7,0.65,13,0.82,5,0.52,26,-999,2.0,2,1,3,3.0,-2.0,0.0,-2.0,-3.0,1.0,10
4,Practice,1077.04,P25,1368.44,1369.96,6.5,A,mid,0.78,10,0.68,13,0.85,4,0.55,25,-999,1.0,2,3,1,3.0,1.0,3.0,-2.0,0.0,0.0,111
4,Estimation1,1467.09,E1,1467.16,1468.67,8.35,A,mid,0.75,11,0.65,15,0.85,-999,0.55,20,3,,2,1,3,,,,,,,11
4,Estimation1,1467.09,E2,1477.36,1478.87,7.5,B,right,0.75,8,0.65,15,0.85,-999,0.55,20,1,2.0,1,3,2,,,,,,,101
4,Estimation1,1467.09,E3,1486.7,1488.22,8.83,B,left,0.75,8,0.65,15,0.85,-999,0.55,28,3,,3,1,2,,,,,,,100
4,Estimation1,1467.09,E4,1497.38,1498.9,8.28,C,left,0.75,10,0.65,15,0.85,-999,0.55,28,1,2.0,2,3,1,,,,,,,101
4,Estimation1,1467.09,E5,1507.51,1509.03,10.89,A,left,0.75,10,0.65,15,0.85,-999,0.55,24,3,,1,2,3,,,,,,,1
4,Estimation1,1467.09,E6,1520.26,1521.77,12.04,C,right,0.75,9,0.65,15,0.85,-999,0.55,24,1,2.0,2,1,3,,,,,,,101
