subject,block,block_onset,trial,fixation_cross_onset,trial_onset,rt,choice,key,pA,mA,pB,mB,pCA,mCA,pCB,mCB,missing,condition,position_A,position_B,position_C,noise_Ap,noise_Am,noise_Bp,noise_Bm,noise_Cp,noise_Cm,attribute_positions
17,Practice,1267.5,P1,1267.54,1269.06,8.54,B,left,0.78,7,0.62,17,0.85,3,0.55,24,-999,2.0,3,1,2,3.0,-2.0,-3.0,2.0,0.0,-1.0,1
17,Practice,1267.5,P2,1277.94,1279.46,7.22,C,right,0.72,7,0.62,16,0.88,5,0.58,26,-999,2.0,1,2,3,-3.0,-2.0,-3.0,1.0,3.0,1.0,10
17,Practice,1267.5,P3,1287.02,1288.54,4.17,A,mid,0.75,11,0.68,13,0.85,4,0.55,25,-999,1.0,2,3,1,0.0,2.0,3.0,-2.0,0.0,0.0,110
17,Practice,1267.5,P4,1293.07,1294.59,8.12,A,right,0.75,9,0.65,15,0.88,5,0.58,26,-999,1.0,3,1,2,0.0,0.0,0.0,0.0,3.0,1.0,100
17,Practice,1267.5,P5,1303.03,1304.55,4.5,A,left,0.72,11,0.62,13,0.85,6,0.55,27,-999,1.0,1,3,2,-3.0,2.0,-3.0,-2.0,0.0,2.0,101
17,Practice,1267.5,P6,1309.4,1310.91,4.76,C,left,0.78,7,0.62,13,0.82,6,0.52,27,-999,2.0,2,3,1,3.0,-2.0,-3.0,-2.0,-3.0,2.0,110
17,Practice,1267.5,P7,1316.01,1317.53,2.43,C,right,0.75,7,0.65,17,0.85,5,0.55,26,-999,2.0,2,1,3,0.0,-2.0,0.0,2.0,0.0,1.0,111
17,Practice,1267.5,P8,1320.29,1321.81,2.84,C,mid,0.72,8,0.68,15,0.82,6,0.52,27,-999,2.0,3,1,2,-3.0,-1.0,3.0,0.0,-3.0,2.0,110
17,Practice,1267.5,P9,1324.99,1326.51,6.99,A,right,0.78,8,0.62,16,0.88,5,0.58,26,-999,1.0,3,1,2,3.0,-1.0,-3.0,1.0,3.0,1.0,1
17,Practice,1267.5,P10,1333.84,1335.36,2.27,A,left,0.75,10,0.65,16,0.82,2,0.52,23,-999,2.0,1,2,3,0.0,1.0,0.0,1.0,-3.0,-2.0,101
17,Practice,1267.5,P11,1337.96,1339.47,4.01,C,left,0.72,8,0.65,15,0.85,5,0.55,26,-999,2.0,2,3,1,-3.0,-1.0,0.0,0.0,0.0,1.0,0
17,Practice,1267.5,P12,1343.82,1345.34,3.81,B,right,0.72,8,0.68,15,0.85,5,0.55,26,-999,1.0,2,3,1,-3.0,-1.0,3.0,0.0,0.0,1.0,101
17,Practice,1267.5,P13,1349.49,1351.0,3.88,A,mid,0.78,11,0.68,16,0.88,5,0.58,26,-999,1.0,2,1,3,3.0,2.0,3.0,1.0,3.0,1.0,111
17,Practice,1267.5,P14,1355.22,1356.73,3.39,A,right,0.72,11,0.62,17,0.82,3,0.52,24,-999,2.0,3,2,1,-3.0,2.0,-3.0,2.0,-3.0,-1.0,0
17,Practice,1267.5,P15,1360.47,1361.98,5.78,A,mid,0.78,7,0.68,14,0.88,5,0.58,26,-999,2.0,2,3,1,3.0,-2.0,3.0,-1.0,3.0,1.0,10
17,Practice,1267.5,P16,1368.11,1369.63,2.24,C,right,0.78,7,0.65,13,0.82,2,0.52,23,-999,2.0,2,1,3,3.0,-2.0,0.0,-2.0,-3.0,-2.0,1
17,Practice,1267.5,P17,1372.21,1373.73,1.65,C,left,0.72,10,0.65,13,0.82,5,0.52,26,-999,2.0,3,2,1,-3.0,1.0,0.0,-2.0,-3.0,1.0,110
17,Practice,1267.5,P18,1375.73,1377.24,2.87,B,left,0.78,7,0.68,13,0.88,2,0.58,23,-999,2.0,3,1,2,3.0,-2.0,3.0,-2.0,3.0,-2.0,10
17,Practice,1267.5,P19,1380.46,1381.98,2.24,B,left,0.78,11,0.62,15,0.85,4,0.55,25,-999,1.0,3,1,2,3.0,2.0,-3.0,0.0,0.0,0.0,110
17,Practice,1267.5,P20,1384.56,1386.07,1.35,B,right,0.72,7,0.65,14,0.88,4,0.58,25,-999,1.0,1,3,2,-3.0,-2.0,0.0,-1.0,3.0,0.0,11
17,Practice,1267.5,P21,1387.76,1389.27,4.36,B,left,0.78,9,0.65,16,0.85,2,0.55,23,-999,1.0,3,1,2,3.0,0.0,0.0,1.0,0.0,-2.0,0
17,Practice,1267.5,P22,1393.97,1395.49,2.58,A,left,0.72,9,0.62,15,0.85,2,0.55,23,-999,1.0,1,3,2,-3.0,0.0,-3.0,0.0,0.0,-2.0,10
17,Practice,1267.5,P23,1398.4,1399.92,3.09,B,left,0.72,7,0.65,13,0.88,3,0.58,24,-999,1.0,3,1,2,-3.0,-2.0,0.0,-2.0,3.0,-1.0,100
17,Practice,1267.5,P24,1403.35,1404.87,3.02,B,left,0.78,7,0.65,13,0.82,5,0.52,26,-999,2.0,2,1,3,3.0,-2.0,0.0,-2.0,-3.0,1.0,10
17,Practice,1267.5,P25,1408.23,1409.75,6.35,A,mid,0.78,10,0.68,13,0.85,4,0.55,25,-999,1.0,2,3,1,3.0,1.0,3.0,-2.0,0.0,0.0,111
17,Estimation1,1528.07,E1,1528.13,1529.65,4.02,A,mid,0.75,11,0.65,15,0.85,-999,0.55,20,3,,2,1,3,,,,,,,11
17,Estimation1,1528.07,E2,1533.99,1535.51,4.03,B,right,0.75,8,0.65,15,0.85,-999,0.55,20,1,2.0,1,3,2,,,,,,,101
17,Estimation1,1528.07,E3,1539.88,1541.39,2.94,B,left,0.75,8,0.65,15,0.85,-999,0.55,28,3,,3,1,2,,,,,,,100
17,Estimation1,1528.07,E4,1544.67,1546.19,1.61,B,right,0.75,10,0.65,15,0.85,-999,0.55,28,1,2.0,2,3,1,,,,,,,101
17,Estimation1,1528.07,E5,1548.14,1549.66,3.89,B,mid,0.75,10,0.65,15,0.85,-999,0.55,32,3,,1,2,3,,,,,,,1
17,Estimation1,1528.07,E6,1553.89,1555.4,4.77,C,right,0.75,11,0.65,15,0.85,-999,0.55,32,1,2.0,2,1,3,,,,,,,101
17,Estimation1,1528.07,E7,1560.52,1562.04,3.54,B,mid,0.75,11,0.65,15,0.85,-999,0.55,30,3,,1,2,3,,,,,,,100
17,Estimation1,1528.07,E8,1565.92,1567.43,1.76,B,right,0.75,11,0.65,15,0.85,6,0.55,30,1,2.0,2,3,1,,,,,,,100
17,Estimation1,1528.07,E9,1569.53,1571.05,2.29,A,right,0.75,11,0.65,15,0.85,6,0.55,31,2,1.0,3,2,1,,,,,,,100
