subject,block,block_onset,trial,fixation_cross_onset,trial_onset,rt,choice,key,pA,mA,pB,mB,pCA,mCA,pCB,mCB,missing,condition,position_A,position_B,position_C,noise_Ap,noise_Am,noise_Bp,noise_Bm,noise_Cp,noise_Cm,attribute_positions
8,Practice,1808.73,P1,1808.78,1810.3,8.32,C,mid,0.78,7,0.62,17,0.85,3,0.55,24,-999,2.0,3,1,2,3.0,-2.0,-3.0,2.0,0.0,-1.0,1
8,Practice,1808.73,P2,1818.98,1820.5,18.84,A,left,0.72,7,0.62,16,0.88,5,0.58,26,-999,2.0,1,2,3,-3.0,-2.0,-3.0,1.0,3.0,1.0,10
8,Practice,1808.73,P3,1839.67,1841.19,6.39,A,mid,0.75,11,0.68,13,0.85,4,0.55,25,-999,1.0,2,3,1,0.0,2.0,3.0,-2.0,0.0,0.0,110
8,Practice,1808.73,P4,1847.92,1849.44,7.56,A,right,0.75,9,0.65,15,0.88,5,0.58,26,-999,1.0,3,1,2,0.0,0.0,0.0,0.0,3.0,1.0,100
8,Practice,1808.73,P5,1857.33,1858.85,11.56,A,left,0.72,11,0.62,13,0.85,6,0.55,27,-999,1.0,1,3,2,-3.0,2.0,-3.0,-2.0,0.0,2.0,101
8,Practice,1808.73,P6,1870.75,1872.26,17.45,A,mid,0.78,7,0.62,13,0.82,6,0.52,27,-999,2.0,2,3,1,3.0,-2.0,-3.0,-2.0,-3.0,2.0,110
8,Practice,1808.73,P7,1890.04,1891.56,17.16,B,left,0.75,7,0.65,17,0.85,5,0.55,26,-999,2.0,2,1,3,0.0,-2.0,0.0,2.0,0.0,1.0,111
8,Practice,1808.73,P8,1909.05,1910.57,8.9,A,right,0.72,8,0.68,15,0.82,6,0.52,27,-999,2.0,3,1,2,-3.0,-1.0,3.0,0.0,-3.0,2.0,110
8,Practice,1808.73,P9,1919.81,1921.33,6.09,A,right,0.78,8,0.62,16,0.88,5,0.58,26,-999,1.0,3,1,2,3.0,-1.0,-3.0,1.0,3.0,1.0,1
8,Practice,1808.73,P10,1927.76,1929.28,6.53,A,left,0.75,10,0.65,16,0.82,2,0.52,23,-999,2.0,1,2,3,0.0,1.0,0.0,1.0,-3.0,-2.0,101
8,Practice,1808.73,P11,1936.14,1937.66,12.47,A,mid,0.72,8,0.65,15,0.85,5,0.55,26,-999,2.0,2,3,1,-3.0,-1.0,0.0,0.0,0.0,1.0,0
8,Practice,1808.73,P12,1950.47,1951.99,5.11,B,right,0.72,8,0.68,15,0.85,5,0.55,26,-999,1.0,2,3,1,-3.0,-1.0,3.0,0.0,0.0,1.0,101
8,Practice,1808.73,P13,1957.43,1958.95,2.29,C,right,0.78,11,0.68,16,0.88,5,0.58,26,-999,1.0,2,1,3,3.0,2.0,3.0,1.0,3.0,1.0,111
8,Practice,1808.73,P14,1961.58,1963.1,3.55,B,mid,0.72,11,0.62,17,0.82,3,0.52,24,-999,2.0,3,2,1,-3.0,2.0,-3.0,2.0,-3.0,-1.0,0
8,Practice,1808.73,P15,1966.98,1968.5,2.54,A,mid,0.78,7,0.68,14,0.88,5,0.58,26,-999,2.0,2,3,1,3.0,-2.0,3.0,-1.0,3.0,1.0,10
8,Practice,1808.73,P16,1971.38,1972.9,3.68,B,left,0.78,7,0.65,13,0.82,2,0.52,23,-999,2.0,2,1,3,3.0,-2.0,0.0,-2.0,-3.0,-2.0,1
8,Practice,1808.73,P17,1976.91,1978.43,4.13,B,mid,0.72,10,0.65,13,0.82,5,0.52,26,-999,2.0,3,2,1,-3.0,1.0,0.0,-2.0,-3.0,1.0,110
8,Practice,1808.73,P18,1982.89,1984.41,0.9,C,mid,0.78,7,0.68,13,0.88,2,0.58,23,-999,2.0,3,1,2,3.0,-2.0,3.0,-2.0,3.0,-2.0,10
8,Practice,1808.73,P19,1985.66,1987.18,0.57,A,right,0.78,11,0.62,15,0.85,4,0.55,25,-999,1.0,3,1,2,3.0,2.0,-3.0,0.0,0.0,0.0,110
8,Practice,1808.73,P20,1988.09,1989.61,0.99,A,left,0.72,7,0.65,14,0.88,4,0.58,25,-999,1.0,1,3,2,-3.0,-2.0,0.0,-1.0,3.0,0.0,11
8,Practice,1808.73,P21,1990.94,1992.46,0.78,C,mid,0.78,9,0.65,16,0.85,2,0.55,23,-999,1.0,3,1,2,3.0,0.0,0.0,1.0,0.0,-2.0,0
8,Practice,1808.73,P22,1993.59,1995.11,3.43,A,left,0.72,9,0.62,15,0.85,2,0.55,23,-999,1.0,1,3,2,-3.0,0.0,-3.0,0.0,0.0,-2.0,10
8,Practice,1808.73,P23,1998.87,2000.39,3.81,A,right,0.72,7,0.65,13,0.88,3,0.58,24,-999,1.0,3,1,2,-3.0,-2.0,0.0,-2.0,3.0,-1.0,100
8,Practice,1808.73,P24,2004.54,2006.05,2.4,A,mid,0.78,7,0.65,13,0.82,5,0.52,26,-999,2.0,2,1,3,3.0,-2.0,0.0,-2.0,-3.0,1.0,10
8,Practice,1808.73,P25,2008.8,2010.32,1.76,A,mid,0.78,10,0.68,13,0.85,4,0.55,25,-999,1.0,2,3,1,3.0,1.0,3.0,-2.0,0.0,0.0,111
8,Estimation1,2145.61,E1,2145.69,2147.21,4.02,A,mid,0.75,11,0.65,15,0.85,-999,0.55,20,3,,2,1,3,,,,,,,11
8,Estimation1,2145.61,E2,2151.56,2153.07,2.5,B,right,0.75,8,0.65,15,0.85,-999,0.55,20,1,2.0,1,3,2,,,,,,,101
8,Estimation1,2145.61,E3,2155.9,2157.42,6.12,B,left,0.75,8,0.65,15,0.85,-999,0.55,28,3,,3,1,2,,,,,,,100
8,Estimation1,2145.61,E4,2163.87,2165.39,7.25,B,right,0.75,10,0.65,15,0.85,-999,0.55,28,1,2.0,2,3,1,,,,,,,101
8,Estimation1,2145.61,E5,2172.98,2174.5,7.42,A,left,0.75,10,0.65,15,0.85,-999,0.55,32,3,,1,2,3,,,,,,,1
8,Estimation1,2145.61,E6,2182.26,2183.78,2.92,B,left,0.75,9,0.65,15,0.85,-999,0.55,32,1,2.0,2,1,3,,,,,,,101
8,Estimation1,2145.61,E7,2187.03,2188.54,5.5,A,left,0.75,9,0.65,15,0.85,-999,0.55,34,3,,1,2,3,,,,,,,100
8,Estimation1,2145.61,E8,2194.38,2195.89,2.32,B,right,0.75,9,0.65,15,0.85,5,0.55,34,1,2.0,2,3,1,,,,,,,100
8,Estimation1,2145.61,E9,2198.56,2200.07,4.72,A,right,0.75,9,0.65,15,0.85,5,0.55,35,2,1.0,3,2,1,,,,,,,100
8,Estimation1,2145.61,E10,2205.14,2206.66,4.45,B,right,0.75,9,0.65,15,0.85,6,0.55,35,1,2.0,1,3,2,,,,,,,0
8,Estimation1,2145.61,E11,2211.44,2212.95,10.46,A,left,0.75,9,0.65,15,0.85,6,0.55,35,2,1.0,1,2,3,,,,,,,101
8,Estimation1,2145.61,E12,2223.75,2225.27,2.85,B,left,0.75,9,0.65,15,0.85,7,0.55,35,1,2.0,2,1,3,,,,,,,110
8,Estimation1,2145.61,E13,2228.45,2229.96,5.48,C,right,0.75,9,0.65,15,0.85,7,0.55,35,2,1.0,2,1,3,,,,,,,11
8,1,2238.0,1,2238.06,2239.58,5.85,C,mid,0.31,32,0.38,26,0.85,11,-999.0,-999,-999,99.0,1,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0
8,1,2238.0,2,2245.78,2247.29,7.87,A,left,0.78,9,0.68,15,0.82,7,0.52,35,-999,1.0,1,3,2,3.0,0.0,3.0,0.0,-3.0,0.0,0
8,1,2238.0,3,2255.51,2257.02,13.03,A,mid,0.72,9,0.62,14,0.7,8,0.6,13,-999,32.0,2,1,3,-3.0,0.0,-3.0,-1.0,0.0,0.0,111
8,1,2238.0,4,2270.38,2271.9,13.79,A,left,0.75,8,0.68,14,0.73,7,0.66,13,-999,31.0,1,3,2,0.0,-1.0,3.0,-1.0,0.0,-1.0,110
8,1,2238.0,5,2286.03,2287.55,5.89,C,mid,0.27,37,0.61,16,0.89,11,-999.0,-999,-999,99.0,1,3,2,0.0,0.0,0.0,0.0,0.0,0.0,111
8,1,2238.0,6,2293.78,2295.29,4.22,C,left,0.32,31,0.6,16,0.78,12,-999.0,-999,-999,99.0,3,2,1,0.0,0.0,0.0,0.0,0.0,0.0,111
8,1,2238.0,7,2299.84,2301.36,7.3,C,mid,0.78,8,0.68,15,0.88,7,0.58,35,-999,1.0,1,3,2,3.0,-1.0,3.0,0.0,3.0,0.0,101
8,1,2238.0,8,2309.01,2310.52,12.85,A,left,0.72,9,0.62,15,0.7,8,0.6,14,-999,31.0,1,2,3,-3.0,0.0,-3.0,0.0,0.0,-1.0,101
8,1,2238.0,9,2323.72,2325.23,5.92,A,right,0.75,9,0.65,14,0.73,8,0.63,13,-999,31.0,3,2,1,0.0,0.0,0.0,-1.0,0.0,0.0,1
8,1,2238.0,10,2331.5,2333.01,6.73,C,mid,0.75,8,0.62,15,0.88,7,0.58,35,-999,1.0,1,3,2,0.0,-1.0,-3.0,0.0,3.0,0.0,100
8,1,2238.0,11,2340.08,2341.6,5.48,A,mid,0.78,9,0.68,15,0.76,8,0.66,14,-999,31.0,2,3,1,3.0,0.0,3.0,0.0,0.0,0.0,101
8,1,2238.0,12,2347.41,2348.93,4.77,C,left,0.27,37,0.47,21,0.86,11,-999.0,-999,-999,99.0,3,2,1,0.0,0.0,0.0,0.0,0.0,0.0,111
8,1,2238.0,13,2354.04,2355.56,13.69,B,right,0.78,9,0.65,15,0.76,8,0.63,14,-999,32.0,1,3,2,3.0,0.0,0.0,0.0,0.0,0.0,101
