subject,block,block_onset,trial,fixation_cross_onset,trial_onset,rt,choice,key,pA,mA,pB,mB,pCA,mCA,pCB,mCB,missing,condition,position_A,position_B,position_C,noise_Ap,noise_Am,noise_Bp,noise_Bm,noise_Cp,noise_Cm,attribute_positions
23,Practice,1060.11,P1,1060.16,1061.68,6.42,B,left,0.78,7,0.62,17,0.85,3,0.55,24,-999,2.0,3,1,2,3.0,-2.0,-3.0,2.0,0.0,-1.0,1
23,Practice,1060.11,P2,1068.44,1069.96,5.34,B,mid,0.72,7,0.62,16,0.88,5,0.58,26,-999,2.0,1,2,3,-3.0,-2.0,-3.0,1.0,3.0,1.0,10
23,Practice,1060.11,P3,1075.65,1077.17,6.28,B,right,0.75,11,0.68,13,0.85,4,0.55,25,-999,1.0,2,3,1,0.0,2.0,3.0,-2.0,0.0,0.0,110
23,Practice,1060.11,P4,1083.79,1085.3,16.31,B,left,0.75,9,0.65,15,0.88,5,0.58,26,-999,1.0,3,1,2,0.0,0.0,0.0,0.0,3.0,1.0,100
23,Practice,1060.11,P5,1101.95,1103.46,6.09,A,left,0.72,11,0.62,13,0.85,6,0.55,27,-999,1.0,1,3,2,-3.0,2.0,-3.0,-2.0,0.0,2.0,101
23,Practice,1060.11,P6,1109.89,1111.41,4.77,C,left,0.78,7,0.62,13,0.82,6,0.52,27,-999,2.0,2,3,1,3.0,-2.0,-3.0,-2.0,-3.0,2.0,110
23,Practice,1060.11,P7,1116.52,1118.04,7.33,C,right,0.75,7,0.65,17,0.85,5,0.55,26,-999,2.0,2,1,3,0.0,-2.0,0.0,2.0,0.0,1.0,111
23,Practice,1060.11,P8,1125.71,1127.22,6.3,C,mid,0.72,8,0.68,15,0.82,6,0.52,27,-999,2.0,3,1,2,-3.0,-1.0,3.0,0.0,-3.0,2.0,110
23,Practice,1060.11,P9,1133.87,1135.39,5.07,B,left,0.78,8,0.62,16,0.88,5,0.58,26,-999,1.0,3,1,2,3.0,-1.0,-3.0,1.0,3.0,1.0,1
23,Practice,1060.11,P10,1140.8,1142.32,14.45,C,right,0.75,10,0.65,16,0.82,2,0.52,23,-999,2.0,1,2,3,0.0,1.0,0.0,1.0,-3.0,-2.0,101
23,Practice,1060.11,P11,1157.09,1158.61,7.34,A,mid,0.72,8,0.65,15,0.85,5,0.55,26,-999,2.0,2,3,1,-3.0,-1.0,0.0,0.0,0.0,1.0,0
23,Practice,1060.11,P12,1166.29,1167.81,3.94,B,right,0.72,8,0.68,15,0.85,5,0.55,26,-999,1.0,2,3,1,-3.0,-1.0,3.0,0.0,0.0,1.0,101
23,Practice,1060.11,P13,1172.09,1173.61,4.28,B,left,0.78,11,0.68,16,0.88,5,0.58,26,-999,1.0,2,1,3,3.0,2.0,3.0,1.0,3.0,1.0,111
23,Practice,1060.11,P14,1178.22,1179.74,5.75,C,left,0.72,11,0.62,17,0.82,3,0.52,24,-999,2.0,3,2,1,-3.0,2.0,-3.0,2.0,-3.0,-1.0,0
23,Practice,1060.11,P15,1185.82,1187.34,4.97,C,left,0.78,7,0.68,14,0.88,5,0.58,26,-999,2.0,2,3,1,3.0,-2.0,3.0,-1.0,3.0,1.0,10
23,Practice,1060.11,P16,1192.65,1194.17,5.04,C,right,0.78,7,0.65,13,0.82,2,0.52,23,-999,2.0,2,1,3,3.0,-2.0,0.0,-2.0,-3.0,-2.0,1
23,Practice,1060.11,P17,1199.55,1201.06,6.33,C,left,0.72,10,0.65,13,0.82,5,0.52,26,-999,2.0,3,2,1,-3.0,1.0,0.0,-2.0,-3.0,1.0,110
23,Practice,1060.11,P18,1207.75,1209.26,4.91,C,mid,0.78,7,0.68,13,0.88,2,0.58,23,-999,2.0,3,1,2,3.0,-2.0,3.0,-2.0,3.0,-2.0,10
23,Practice,1060.11,P19,1214.51,1216.03,6.46,B,left,0.78,11,0.62,15,0.85,4,0.55,25,-999,1.0,3,1,2,3.0,2.0,-3.0,0.0,0.0,0.0,110
23,Practice,1060.11,P20,1222.82,1224.34,7.17,B,right,0.72,7,0.65,14,0.88,4,0.58,25,-999,1.0,1,3,2,-3.0,-2.0,0.0,-1.0,3.0,0.0,11
23,Practice,1060.11,P21,1231.85,1233.37,5.43,A,right,0.78,9,0.65,16,0.85,2,0.55,23,-999,1.0,3,1,2,3.0,0.0,0.0,1.0,0.0,-2.0,0
23,Practice,1060.11,P22,1239.15,1240.67,5.44,B,right,0.72,9,0.62,15,0.85,2,0.55,23,-999,1.0,1,3,2,-3.0,0.0,-3.0,0.0,0.0,-2.0,10
23,Practice,1060.11,P23,1246.45,1247.97,7.56,A,right,0.72,7,0.65,13,0.88,3,0.58,24,-999,1.0,3,1,2,-3.0,-2.0,0.0,-2.0,3.0,-1.0,100
23,Practice,1060.11,P24,1255.86,1257.38,2.77,C,right,0.78,7,0.65,13,0.82,5,0.52,26,-999,2.0,2,1,3,3.0,-2.0,0.0,-2.0,-3.0,1.0,10
23,Practice,1060.11,P25,1260.49,1262.01,3.81,B,right,0.78,10,0.68,13,0.85,4,0.55,25,-999,1.0,2,3,1,3.0,1.0,3.0,-2.0,0.0,0.0,111
23,Estimation1,1399.19,E1,1399.25,1400.77,3.21,A,mid,0.75,11,0.65,15,0.85,-999,0.55,20,3,,2,1,3,,,,,,,11
23,Estimation1,1399.19,E2,1404.31,1405.83,5.46,C,mid,0.75,8,0.65,15,0.85,-999,0.55,20,1,2.0,1,3,2,,,,,,,101
23,Estimation1,1399.19,E3,1411.63,1413.15,4.05,B,left,0.75,8,0.65,15,0.85,-999,0.55,18,3,,3,1,2,,,,,,,100
23,Estimation1,1399.19,E4,1417.54,1419.06,5.23,B,right,0.75,10,0.65,15,0.85,-999,0.55,18,1,2.0,2,3,1,,,,,,,101
23,Estimation1,1399.19,E5,1424.62,1426.14,5.28,B,mid,0.75,10,0.65,15,0.85,-999,0.55,19,3,,1,2,3,,,,,,,1
23,Estimation1,1399.19,E6,1431.76,1433.27,5.41,B,left,0.75,11,0.65,15,0.85,-999,0.55,19,1,2.0,2,1,3,,,,,,,101
23,Estimation1,1399.19,E7,1439.02,1440.54,4.49,B,mid,0.75,11,0.65,15,0.85,-999,0.55,20,3,,1,2,3,,,,,,,100
23,Estimation1,1399.19,E8,1445.37,1446.88,6.25,C,left,0.75,11,0.65,15,0.85,6,0.55,20,1,2.0,2,3,1,,,,,,,100
23,Estimation1,1399.19,E9,1453.48,1455.0,3.3,A,right,0.75,11,0.65,15,0.85,6,0.55,20,2,1.0,3,2,1,,,,,,,100
23,Estimation1,1399.19,E10,1458.65,1460.16,7.78,C,mid,0.75,11,0.65,15,0.85,8,0.55,20,1,2.0,1,3,2,,,,,,,0
23,Estimation1,1399.19,E11,1468.28,1469.79,4.53,A,left,0.75,11,0.65,15,0.85,8,0.55,20,2,1.0,1,2,3,,,,,,,101
23,Estimation1,1399.19,E12,1474.68,1476.19,2.62,C,right,0.75,11,0.65,15,0.85,9,0.55,20,1,2.0,2,1,3,,,,,,,110
23,Estimation1,1399.19,E13,1479.14,1480.66,3.95,A,mid,0.75,11,0.65,15,0.85,9,0.55,20,2,1.0,2,1,3,,,,,,,11
23,1,1489.32,1,1489.39,1490.9,8.33,A,left,0.31,32,0.38,26,0.85,11,-999.0,-999,-999,99.0,1,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0
23,1,1489.32,2,1499.58,1501.1,9.3,B,right,0.78,11,0.68,15,0.82,9,0.52,20,-999,1.0,1,3,2,3.0,0.0,3.0,0.0,-3.0,0.0,0
23,1,1489.32,3,1510.73,1512.25,4.7,A,mid,0.72,11,0.62,14,0.7,10,0.6,13,-999,32.0,2,1,3,-3.0,0.0,-3.0,-1.0,0.0,0.0,111
23,1,1489.32,4,1517.3,1518.81,6.26,A,left,0.75,10,0.68,14,0.73,9,0.66,13,-999,31.0,1,3,2,0.0,-1.0,3.0,-1.0,0.0,-1.0,110
23,1,1489.32,5,1525.41,1526.93,5.23,A,left,0.27,37,0.61,16,0.89,11,-999.0,-999,-999,99.0,1,3,2,0.0,0.0,0.0,0.0,0.0,0.0,111
23,1,1489.32,6,1532.49,1534.01,9.02,C,left,0.32,31,0.6,16,0.78,12,-999.0,-999,-999,99.0,3,2,1,0.0,0.0,0.0,0.0,0.0,0.0,111
23,1,1489.32,7,1543.37,1544.89,6.07,C,mid,0.78,10,0.68,15,0.88,9,0.58,20,-999,1.0,1,3,2,3.0,-1.0,3.0,0.0,3.0,0.0,101
23,1,1489.32,8,1551.3,1552.82,5.35,B,mid,0.72,11,0.62,15,0.7,10,0.6,14,-999,31.0,1,2,3,-3.0,0.0,-3.0,0.0,0.0,-1.0,101
23,1,1489.32,9,1558.5,1560.01,5.97,A,right,0.75,11,0.65,14,0.73,10,0.63,13,-999,31.0,3,2,1,0.0,0.0,0.0,-1.0,0.0,0.0,1
23,1,1489.32,10,1566.31,1567.83,4.44,B,right,0.75,10,0.62,15,0.88,9,0.58,20,-999,1.0,1,3,2,0.0,-1.0,-3.0,0.0,3.0,0.0,100
