subject,block,block_onset,trial,fixation_cross_onset,trial_onset,rt,choice,key,pA,mA,pB,mB,pCA,mCA,pCB,mCB,missing,condition,position_A,position_B,position_C,noise_Ap,noise_Am,noise_Bp,noise_Bm,noise_Cp,noise_Cm,attribute_positions
41,Practice,1076.86,P1,1076.91,1078.42,10.43,C,mid,0.78,7,0.62,17,0.85,3,0.55,24,-999,2.0,3,1,2,3.0,-2.0,-3.0,2.0,0.0,-1.0,1
41,Practice,1076.86,P2,1089.2,1090.72,17.4,C,right,0.72,7,0.62,16,0.88,5,0.58,26,-999,2.0,1,2,3,-3.0,-2.0,-3.0,1.0,3.0,1.0,10
41,Practice,1076.86,P3,1108.46,1109.98,46.76,B,right,0.75,11,0.68,13,0.85,4,0.55,25,-999,1.0,2,3,1,0.0,2.0,3.0,-2.0,0.0,0.0,110
41,Practice,1076.86,P4,1157.08,1158.6,7.77,B,left,0.75,9,0.65,15,0.88,5,0.58,26,-999,1.0,3,1,2,0.0,0.0,0.0,0.0,3.0,1.0,100
41,Practice,1076.86,P5,1166.71,1168.23,5.25,B,right,0.72,11,0.62,13,0.85,6,0.55,27,-999,1.0,1,3,2,-3.0,2.0,-3.0,-2.0,0.0,2.0,101
41,Practice,1076.86,P6,1173.81,1175.33,4.52,C,left,0.78,7,0.62,13,0.82,6,0.52,27,-999,2.0,2,3,1,3.0,-2.0,-3.0,-2.0,-3.0,2.0,110
41,Practice,1076.86,P7,1180.17,1181.69,5.86,C,right,0.75,7,0.65,17,0.85,5,0.55,26,-999,2.0,2,1,3,0.0,-2.0,0.0,2.0,0.0,1.0,111
41,Practice,1076.86,P8,1187.89,1189.4,7.44,B,left,0.72,8,0.68,15,0.82,6,0.52,27,-999,2.0,3,1,2,-3.0,-1.0,3.0,0.0,-3.0,2.0,110
41,Practice,1076.86,P9,1197.19,1198.7,8.51,B,left,0.78,8,0.62,16,0.88,5,0.58,26,-999,1.0,3,1,2,3.0,-1.0,-3.0,1.0,3.0,1.0,1
41,Practice,1076.86,P10,1207.55,1209.06,12.0,C,right,0.75,10,0.65,16,0.82,2,0.52,23,-999,2.0,1,2,3,0.0,1.0,0.0,1.0,-3.0,-2.0,101
41,Practice,1076.86,P11,1221.41,1222.93,5.79,C,left,0.72,8,0.65,15,0.85,5,0.55,26,-999,2.0,2,3,1,-3.0,-1.0,0.0,0.0,0.0,1.0,0
41,Practice,1076.86,P12,1229.06,1230.57,7.95,B,right,0.72,8,0.68,15,0.85,5,0.55,26,-999,1.0,2,3,1,-3.0,-1.0,3.0,0.0,0.0,1.0,101
41,Practice,1076.86,P13,1238.86,1240.37,7.32,A,mid,0.78,11,0.68,16,0.88,5,0.58,26,-999,1.0,2,1,3,3.0,2.0,3.0,1.0,3.0,1.0,111
41,Practice,1076.86,P14,1248.04,1249.55,2.89,A,right,0.72,11,0.62,17,0.82,3,0.52,24,-999,2.0,3,2,1,-3.0,2.0,-3.0,2.0,-3.0,-1.0,0
41,Practice,1076.86,P15,1252.78,1254.3,6.96,C,left,0.78,7,0.68,14,0.88,5,0.58,26,-999,2.0,2,3,1,3.0,-2.0,3.0,-1.0,3.0,1.0,10
41,Practice,1076.86,P16,1261.6,1263.11,6.44,B,left,0.78,7,0.65,13,0.82,2,0.52,23,-999,2.0,2,1,3,3.0,-2.0,0.0,-2.0,-3.0,-2.0,1
41,Practice,1076.86,P17,1269.9,1271.41,9.07,C,left,0.72,10,0.65,13,0.82,5,0.52,26,-999,2.0,3,2,1,-3.0,1.0,0.0,-2.0,-3.0,1.0,110
41,Practice,1076.86,P18,1280.82,1282.34,7.16,C,mid,0.78,7,0.68,13,0.88,2,0.58,23,-999,2.0,3,1,2,3.0,-2.0,3.0,-2.0,3.0,-2.0,10
41,Practice,1076.86,P19,1289.84,1291.35,8.76,A,right,0.78,11,0.62,15,0.85,4,0.55,25,-999,1.0,3,1,2,3.0,2.0,-3.0,0.0,0.0,0.0,110
41,Practice,1076.86,P20,1300.45,1301.97,3.67,B,right,0.72,7,0.65,14,0.88,4,0.58,25,-999,1.0,1,3,2,-3.0,-2.0,0.0,-1.0,3.0,0.0,11
41,Practice,1076.86,P21,1305.98,1307.5,5.11,B,left,0.78,9,0.65,16,0.85,2,0.55,23,-999,1.0,3,1,2,3.0,0.0,0.0,1.0,0.0,-2.0,0
41,Practice,1076.86,P22,1312.95,1314.46,5.61,B,right,0.72,9,0.62,15,0.85,2,0.55,23,-999,1.0,1,3,2,-3.0,0.0,-3.0,0.0,0.0,-2.0,10
41,Practice,1076.86,P23,1320.41,1321.93,6.93,B,left,0.72,7,0.65,13,0.88,3,0.58,24,-999,1.0,3,1,2,-3.0,-2.0,0.0,-2.0,3.0,-1.0,100
41,Practice,1076.86,P24,1329.19,1330.71,5.27,C,right,0.78,7,0.65,13,0.82,5,0.52,26,-999,2.0,2,1,3,3.0,-2.0,0.0,-2.0,-3.0,1.0,10
41,Practice,1076.86,P25,1336.32,1337.84,4.93,A,mid,0.78,10,0.68,13,0.85,4,0.55,25,-999,1.0,2,3,1,3.0,1.0,3.0,-2.0,0.0,0.0,111
41,Practice,1491.59,P1,1491.61,1493.12,5.59,B,left,0.78,7,0.62,17,0.85,3,0.55,24,-999,2.0,2,1,3,3.0,-2.0,-3.0,2.0,0.0,-1.0,11
41,Practice,1491.59,P2,1499.05,1500.57,5.29,C,mid,0.72,7,0.62,16,0.88,5,0.58,26,-999,2.0,1,3,2,-3.0,-2.0,-3.0,1.0,3.0,1.0,101
41,Practice,1491.59,P3,1506.2,1507.72,3.05,A,right,0.75,11,0.68,13,0.85,4,0.55,25,-999,1.0,3,1,2,0.0,2.0,3.0,-2.0,0.0,0.0,100
41,Practice,1491.59,P4,1511.1,1512.62,3.94,B,right,0.75,9,0.65,15,0.88,5,0.58,26,-999,1.0,2,3,1,0.0,0.0,0.0,0.0,3.0,1.0,101
41,Practice,1491.59,P5,1516.9,1518.42,5.01,A,left,0.72,11,0.62,13,0.85,6,0.55,27,-999,1.0,1,2,3,-3.0,2.0,-3.0,-2.0,0.0,2.0,1
41,Practice,1491.59,P6,1523.76,1525.28,0.09,B,left,0.78,7,0.62,13,0.82,6,0.52,27,-999,2.0,2,1,3,3.0,-2.0,-3.0,-2.0,-3.0,2.0,101
41,Practice,1491.59,P7,1525.71,1527.23,0.0,A,left,0.75,7,0.65,17,0.85,5,0.55,26,-999,2.0,1,2,3,0.0,-2.0,0.0,2.0,0.0,1.0,100
41,Practice,1491.59,P8,1527.56,1529.08,0.04,C,left,0.72,8,0.68,15,0.82,6,0.52,27,-999,2.0,2,3,1,-3.0,-1.0,3.0,0.0,-3.0,2.0,100
41,Practice,1491.59,P9,1529.46,1530.98,0.02,C,left,0.78,8,0.62,16,0.88,5,0.58,26,-999,1.0,3,2,1,3.0,-1.0,-3.0,1.0,3.0,1.0,100
41,Practice,1491.59,P10,1531.34,1532.86,0.0,A,left,0.75,10,0.65,16,0.82,2,0.52,23,-999,2.0,1,3,2,0.0,1.0,0.0,1.0,-3.0,-2.0,0
41,Practice,1491.59,P11,1533.19,1534.71,0.06,A,left,0.72,8,0.65,15,0.85,5,0.55,26,-999,2.0,1,2,3,-3.0,-1.0,0.0,0.0,0.0,1.0,101
41,Practice,1491.59,P12,1535.11,1536.63,0.11,B,left,0.72,8,0.68,15,0.85,5,0.55,26,-999,1.0,2,1,3,-3.0,-1.0,3.0,0.0,0.0,1.0,110
41,Practice,1491.59,P13,1537.08,1538.59,0.2,B,left,0.78,11,0.68,16,0.88,5,0.58,26,-999,1.0,2,1,3,3.0,2.0,3.0,1.0,3.0,1.0,11
41,Practice,1491.59,P14,1539.13,1540.64,0.0,B,mid,0.72,11,0.62,17,0.82,3,0.52,24,-999,2.0,1,2,3,-3.0,2.0,-3.0,2.0,-3.0,-1.0,100
41,Practice,1491.59,P15,1540.99,1542.51,0.0,A,mid,0.78,7,0.68,14,0.88,5,0.58,26,-999,2.0,2,1,3,3.0,-2.0,3.0,-1.0,3.0,1.0,110
41,Practice,1491.59,P16,1542.84,1544.36,0.06,B,mid,0.78,7,0.65,13,0.82,2,0.52,23,-999,2.0,1,2,3,3.0,-2.0,0.0,-2.0,-3.0,-2.0,100
41,Practice,1491.59,P17,1544.76,1546.27,0.09,C,mid,0.72,10,0.65,13,0.82,5,0.52,26,-999,2.0,3,1,2,-3.0,1.0,0.0,-2.0,-3.0,1.0,100
41,Practice,1491.59,P18,1546.71,1548.22,0.0,A,mid,0.78,7,0.68,13,0.88,2,0.58,23,-999,2.0,2,3,1,3.0,-2.0,3.0,-2.0,3.0,-2.0,1
41,Practice,1491.59,P19,1548.56,1550.07,0.15,C,mid,0.78,11,0.62,15,0.85,4,0.55,25,-999,1.0,3,1,2,3.0,2.0,-3.0,0.0,0.0,0.0,0
41,Practice,1491.59,P20,1550.55,1552.07,0.25,B,mid,0.72,7,0.65,14,0.88,4,0.58,25,-999,1.0,1,2,3,-3.0,-2.0,0.0,-1.0,3.0,0.0,10
41,Practice,1491.59,P21,1552.67,1554.19,0.31,C,mid,0.78,9,0.65,16,0.85,2,0.55,23,-999,1.0,1,3,2,3.0,0.0,0.0,1.0,0.0,-2.0,0
41,Practice,1491.59,P22,1554.84,1556.35,0.22,A,mid,0.72,9,0.62,15,0.85,2,0.55,23,-999,1.0,2,3,1,-3.0,0.0,-3.0,0.0,0.0,-2.0,110
41,Practice,1491.59,P23,1556.92,1558.44,0.21,A,mid,0.72,7,0.65,13,0.88,3,0.58,24,-999,1.0,2,1,3,-3.0,-2.0,0.0,-2.0,3.0,-1.0,0
41,Practice,1491.59,P24,1558.99,1560.5,0.22,B,mid,0.78,7,0.65,13,0.82,5,0.52,26,-999,2.0,3,2,1,3.0,-2.0,0.0,-2.0,-3.0,1.0,101
41,Practice,1491.59,P25,1561.07,1562.58,0.21,A,mid,0.78,10,0.68,13,0.85,4,0.55,25,-999,1.0,2,1,3,3.0,1.0,3.0,-2.0,0.0,0.0,1
41,Estimation1,1600.5,E1,1600.56,1602.07,5.24,A,right,0.75,11,0.65,15,0.85,-999,0.55,20,3,,3,1,2,,,,,,,101
41,Estimation1,1600.5,E2,1607.64,1609.15,4.37,B,mid,0.75,8,0.65,15,0.85,-999,0.55,20,1,2.0,3,2,1,,,,,,,100
