subject,block,block_onset,trial,fixation_cross_onset,trial_onset,rt,choice,key,pA,mA,pB,mB,pCA,mCA,pCB,mCB,missing,condition,position_A,position_B,position_C,noise_Ap,noise_Am,noise_Bp,noise_Bm,noise_Cp,noise_Cm,attribute_positions
15,Practice,806.67,P1,806.71,808.23,39.18,A,right,0.78,7,0.62,17,0.85,3,0.55,24,-999,2.0,3,1,2,3.0,-2.0,-3.0,2.0,0.0,-1.0,1
15,Practice,806.67,P2,847.75,849.26,14.84,B,mid,0.72,7,0.62,16,0.88,5,0.58,26,-999,2.0,1,2,3,-3.0,-2.0,-3.0,1.0,3.0,1.0,10
15,Practice,806.67,P3,864.44,865.96,14.62,B,right,0.75,11,0.68,13,0.85,4,0.55,25,-999,1.0,2,3,1,0.0,2.0,3.0,-2.0,0.0,0.0,110
15,Practice,806.67,P4,880.94,882.45,14.25,B,left,0.75,9,0.65,15,0.88,5,0.58,26,-999,1.0,3,1,2,0.0,0.0,0.0,0.0,3.0,1.0,100
15,Practice,806.67,P5,897.05,898.57,9.33,A,left,0.72,11,0.62,13,0.85,6,0.55,27,-999,1.0,1,3,2,-3.0,2.0,-3.0,-2.0,0.0,2.0,101
15,Practice,806.67,P6,908.25,909.76,19.23,A,mid,0.78,7,0.62,13,0.82,6,0.52,27,-999,2.0,2,3,1,3.0,-2.0,-3.0,-2.0,-3.0,2.0,110
15,Practice,806.67,P7,929.34,930.86,13.16,B,left,0.75,7,0.65,17,0.85,5,0.55,26,-999,2.0,2,1,3,0.0,-2.0,0.0,2.0,0.0,1.0,111
15,Practice,806.67,P8,944.35,945.87,9.21,B,left,0.72,8,0.68,15,0.82,6,0.52,27,-999,2.0,3,1,2,-3.0,-1.0,3.0,0.0,-3.0,2.0,110
15,Practice,806.67,P9,955.41,956.93,9.41,B,left,0.78,8,0.62,16,0.88,5,0.58,26,-999,1.0,3,1,2,3.0,-1.0,-3.0,1.0,3.0,1.0,1
15,Practice,806.67,P10,966.68,968.19,18.72,A,left,0.75,10,0.65,16,0.82,2,0.52,23,-999,2.0,1,2,3,0.0,1.0,0.0,1.0,-3.0,-2.0,101
15,Practice,806.67,P11,987.25,988.77,11.43,B,right,0.72,8,0.65,15,0.85,5,0.55,26,-999,2.0,2,3,1,-3.0,-1.0,0.0,0.0,0.0,1.0,0
15,Practice,806.67,P12,1000.55,1002.07,8.99,B,right,0.72,8,0.68,15,0.85,5,0.55,26,-999,1.0,2,3,1,-3.0,-1.0,3.0,0.0,0.0,1.0,101
15,Practice,806.67,P13,1011.4,1012.91,12.31,A,mid,0.78,11,0.68,16,0.88,5,0.58,26,-999,1.0,2,1,3,3.0,2.0,3.0,1.0,3.0,1.0,111
15,Practice,806.67,P14,1025.56,1027.08,12.07,A,right,0.72,11,0.62,17,0.82,3,0.52,24,-999,2.0,3,2,1,-3.0,2.0,-3.0,2.0,-3.0,-1.0,0
15,Practice,806.67,P15,1039.47,1040.99,4.22,B,right,0.78,7,0.68,14,0.88,5,0.58,26,-999,2.0,2,3,1,3.0,-2.0,3.0,-1.0,3.0,1.0,10
15,Practice,806.67,P16,1045.54,1047.05,7.91,B,left,0.78,7,0.65,13,0.82,2,0.52,23,-999,2.0,2,1,3,3.0,-2.0,0.0,-2.0,-3.0,-2.0,1
15,Practice,806.67,P17,1055.3,1056.82,3.36,A,right,0.72,10,0.65,13,0.82,5,0.52,26,-999,2.0,3,2,1,-3.0,1.0,0.0,-2.0,-3.0,1.0,110
15,Practice,806.67,P18,1060.51,1062.03,13.91,B,left,0.78,7,0.68,13,0.88,2,0.58,23,-999,2.0,3,1,2,3.0,-2.0,3.0,-2.0,3.0,-2.0,10
15,Practice,806.67,P19,1076.28,1077.79,7.97,A,right,0.78,11,0.62,15,0.85,4,0.55,25,-999,1.0,3,1,2,3.0,2.0,-3.0,0.0,0.0,0.0,110
15,Practice,806.67,P20,1086.11,1087.62,5.23,B,right,0.72,7,0.65,14,0.88,4,0.58,25,-999,1.0,1,3,2,-3.0,-2.0,0.0,-1.0,3.0,0.0,11
15,Practice,806.67,P21,1093.19,1094.7,3.99,B,left,0.78,9,0.65,16,0.85,2,0.55,23,-999,1.0,3,1,2,3.0,0.0,0.0,1.0,0.0,-2.0,0
15,Practice,806.67,P22,1099.04,1100.55,9.91,A,left,0.72,9,0.62,15,0.85,2,0.55,23,-999,1.0,1,3,2,-3.0,0.0,-3.0,0.0,0.0,-2.0,10
15,Practice,806.67,P23,1110.8,1112.31,12.74,B,left,0.72,7,0.65,13,0.88,3,0.58,24,-999,1.0,3,1,2,-3.0,-2.0,0.0,-2.0,3.0,-1.0,100
15,Practice,806.67,P24,1125.39,1126.91,11.46,B,left,0.78,7,0.65,13,0.82,5,0.52,26,-999,2.0,2,1,3,3.0,-2.0,0.0,-2.0,-3.0,1.0,10
15,Practice,806.67,P25,1138.71,1140.22,3.46,B,right,0.78,10,0.68,13,0.85,4,0.55,25,-999,1.0,2,3,1,3.0,1.0,3.0,-2.0,0.0,0.0,111
15,Estimation1,1261.51,E1,1261.57,1263.08,9.6,A,mid,0.75,11,0.65,15,0.85,-999,0.55,20,3,,2,1,3,,,,,,,11
15,Estimation1,1261.51,E2,1273.01,1274.53,3.17,B,right,0.75,8,0.65,15,0.85,-999,0.55,20,1,2.0,1,3,2,,,,,,,101
15,Estimation1,1261.51,E3,1278.03,1279.55,5.3,A,right,0.75,8,0.65,15,0.85,-999,0.55,28,3,,3,1,2,,,,,,,100
15,Estimation1,1261.51,E4,1285.18,1286.69,2.75,B,right,0.75,6,0.65,15,0.85,-999,0.55,28,1,2.0,2,3,1,,,,,,,101
15,Estimation1,1261.51,E5,1289.78,1291.29,3.76,B,mid,0.75,6,0.65,15,0.85,-999,0.55,32,3,,1,2,3,,,,,,,1
15,Estimation1,1261.51,E6,1295.39,1296.91,4.27,B,left,0.75,7,0.65,15,0.85,-999,0.55,32,1,2.0,2,1,3,,,,,,,101
15,Estimation1,1261.51,E7,1301.52,1303.04,7.04,A,left,0.75,7,0.65,15,0.85,-999,0.55,34,3,,1,2,3,,,,,,,100
15,Estimation1,1261.51,E8,1310.42,1311.94,6.46,B,right,0.75,7,0.65,15,0.85,4,0.55,34,1,2.0,2,3,1,,,,,,,100
15,Estimation1,1261.51,E9,1318.73,1320.25,1.86,A,right,0.75,7,0.65,15,0.85,4,0.55,35,2,1.0,3,2,1,,,,,,,100
15,Estimation1,1261.51,E10,1322.45,1323.96,4.41,B,right,0.75,7,0.65,15,0.85,5,0.55,35,1,2.0,1,3,2,,,,,,,0
15,Estimation1,1261.51,E11,1328.71,1330.23,3.24,A,left,0.75,7,0.65,15,0.85,5,0.55,35,2,1.0,1,2,3,,,,,,,101
15,1,1337.4,1,1337.48,1338.99,11.31,B,left,0.78,7,0.62,14,0.85,5,0.55,35,-999,2.0,3,1,2,3.0,0.0,-3.0,-1.0,0.0,0.0,110
15,1,1337.4,2,1350.64,1352.16,6.33,C,left,0.28,35,0.67,14,0.78,12,-999.0,-999,-999,99.0,3,2,1,0.0,0.0,0.0,0.0,0.0,0.0,101
15,1,1337.4,3,1358.82,1360.34,2.25,B,right,0.78,6,0.68,15,0.76,5,0.66,14,-999,31.0,1,3,2,3.0,-1.0,3.0,0.0,0.0,0.0,0
15,1,1337.4,4,1362.92,1364.44,2.79,B,right,0.75,6,0.68,14,0.85,4,0.55,34,-999,2.0,1,3,2,0.0,-1.0,3.0,-1.0,0.0,-1.0,0
15,1,1337.4,5,1367.57,1369.08,21.77,B,left,0.72,7,0.68,14,0.7,6,0.66,13,-999,32.0,2,1,3,-3.0,0.0,3.0,-1.0,0.0,-1.0,111
15,1,1337.4,6,1391.19,1392.71,9.12,C,mid,0.72,7,0.62,15,0.7,6,0.6,14,-999,32.0,1,3,2,-3.0,0.0,-3.0,0.0,3.0,-1.0,110
15,1,1337.4,7,1402.17,1403.69,5.45,A,left,0.78,7,0.65,14,0.82,5,0.52,35,-999,1.0,1,3,2,3.0,0.0,0.0,-1.0,-3.0,0.0,111
15,1,1337.4,8,1409.47,1410.99,6.57,B,mid,0.72,7,0.62,14,0.85,5,0.55,35,-999,2.0,3,2,1,-3.0,0.0,-3.0,-1.0,0.0,0.0,111
15,1,1337.4,9,1417.88,1419.4,4.07,B,right,0.72,7,0.62,14,0.7,6,0.6,13,-999,32.0,1,3,2,-3.0,0.0,-3.0,-1.0,0.0,0.0,101
15,1,1337.4,10,1423.82,1425.33,3.93,B,mid,0.75,7,0.62,15,0.88,4,0.58,34,-999,1.0,1,2,3,0.0,0.0,-3.0,0.0,3.0,-1.0,101
15,1,1337.4,11,1429.6,1431.11,9.33,C,left,0.27,37,0.61,16,0.89,11,-999.0,-999,-999,99.0,3,2,1,0.0,0.0,0.0,0.0,0.0,0.0,1
15,1,1337.4,12,1440.78,1442.29,2.2,B,right,0.75,6,0.62,15,0.88,5,0.58,35,-999,1.0,1,3,2,0.0,-1.0,-3.0,0.0,3.0,0.0,100
